"","x"
"Vendor",30
"Directorate",29
"Number of such posts in FTE",29
"Trans value",28
"Women Headcount",28
"Women Percentage",28
"Actual pay ceiling",27
"Actual pay floor",27
"Department Of Health",27
"DETAILS",27
"Grant?",27
"Property Name",27
"Trans Date",27
"Vat No",27
"Clearing",26
"Doc Nbr",26
"Indicator",26
"Merchant Details",26
"Not Known Percentage",26
"Town",26
"Visits from this term",26
"Voluntary & Community Sector",26
"  Net value",25
" Item",25
"Account Customer",25
"Basis for expenditure approval",25
"Doc Category Code",25
"Doc. date",25
"Invoice Distribution Amount",25
"Invoice Source",25
"INVOICE TYPE LOOKUP CODE",25
"Paid To",25
"Payband",25
"Payment Num",25
"PES Category",25
"Purch. doc.",25
"Reason for Payment",25
"Short text",25
"Sole Trader",25
"Total Value Approved (£M)",25
"Clearing Date",24
"OC1",24
"OC2",24
"OS(NPP)",24
"OS(NPW)",24
"OS(P)",24
"OS(W)",24
"Payment Amount",24
"SIMS",24
"SME Class",24
"SumOfAmount",24
"Unique Reference Number",24
"ePIMS Property Ref",23
"Post Date",23
"Property Centre",23
"Total Value requested (£M)",23
"Amount exc VAT",22
"Exp code",22
"Expenditure Account ",22
"Expense Description",22
"Holding Name",22
"Longitude",22
"Scheduled','No.32 (The Royal Squadron)'  or 'other RAF' or 'Charter' or 'Scheduled' or 'Eurostar'",22
"Sector Name",22
"Supp ID",22
"Trans no.",22
"Unsuccessful Percentage",22
"30-34 Headcount",21
"30-34 Percentage",21
"35-39 Headcount",21
"35-39 Percentage",21
"40-44 Headcount",21
"40-44 Percentage",21
"45-49 Headcount",21
"45-49 Percentage",21
"50-54 Headcount",21
"50-54 Percentage",21
"55-59 Headcount",21
"55-59 Percentage",21
"60-64 Headcount",21
"60-64 Percentage",21
"A",21
"Buddhist Headcount",21
"Christian Headcount",21
"Convictions Volume",21
"Currency Unit",21
"Hindu Headcount",21
"Invoice Posting Date",21
"Muslim Headcount",21
"No Religion or Belief Headcount",21
"Not Known Headcount",21
"Service Area Categorisation",21
"Spend",21
"Unsuccessful Volume",21
"25-29 Headcount",20
"25-29 Percentage",20
"Agnostic Headcount",20
"Atheist Headcount",20
"Billed Amount",20
"Buddhist Percentage",20
"Christian Percentage",20
"Disabled Percentage",20
"Expense Report ID",20
"F",20
"Hindu Percentage",20
"Jewish Headcount",20
"Main Department",20
"Muslim Percentage",20
"N",20
"No Religion or Belief Percentage",20
"Number of Searches",20
"Pagan Headcount",20
"Reference Number",20
"Sikh Headcount",20
"Sum of Amount",20
"SupplierName",20
"Transaction Dt",20
"65 Plus Headcount",19
"Agnostic Percentage",19
"Atheist Percentage",19
"Contract",19
"Cost of in-year NCPRP for delegated grades only (£)",19
"End of Year - Cost of end of year NCPRP for delegated grades only (£s)",19
"End of Year - Delegated grade staff receiving an end of year NCPRP as a % of headcount",19
"End of Year - Median NCPRP for those receiving an end of year NCPRP for delegated grades only",19
"End of Year - Number of staff in delegated grades receiving an end of year NCPRP",19
"End of Year - Value of maximum end of year NCPRP paid to a member of staff in the delegated grades only",19
"Expense Type Number",19
"Gay Man Headcount",19
"Gay Man Percentage",19
"In-Year - Median NCPRP for those receiving an in-year NCPRP for delegated grades only",19
"In-Year - Number of staff in delegated grades receiving an in-year NCPRP as a % of headcount",19
"In-Year - Value of maximum in-year NCPRP paid to a member of staff in the delegated grades only",19
"Jewish Percentage",19
"Month of Meeting",19
"Number of staff in delegated grades receiving an in-year NCPRP",19
"Other (including hospitality given)",19
"Pagan Percentage",19
"Salary Cost of Reports",19
"SCS on standard contracts (end of year NCPRP) - Cost of NCPRP for SCS standard contract staff (£s)",19
"SCS on standard contracts (end of year NCPRP) - Median NCPRP for those SCS standard contract staff receiving a NCPRP",19
"SCS on standard contracts (end of year NCPRP) - Number of SCS standard contract staff receiving a NCPRP",19
"SCS on standard contracts (end of year NCPRP) - SCS standard contract staff receiving a NCPRP as a % of SCS standard contract staff headcount",19
"Sikh Percentage",19
"Subjective Code",19
"Total Cost of NCPRP as a % of paybill for delegated grades only (%)",19
"Total Overall cost of NCPRP (in-year and end of year) for delegated grades only",19
"Bahai Headcount",18
"Expend type",18
"Gay Woman / Lesbian Headcount",18
"Gay Woman / Lesbian Percentage",18
"Invoice Net Amount GBP",18
"Invoice Recoverable VAT GBP",18
"Invoice VAT Amount GBP",18
"Non-Disabled Percentage",18
"PSPES 1",18
"PSPES 2",18
"Road",18
"SpAd",18
"Total cost £",18
"Total Percentages",18
"Total Prosecutions",18
"Transaction Description",18
"UNSPCC code",18
"UNSPCC desc",18
"20-24 Headcount",17
"20-24 Percentage",17
"66 Plus Percentage",17
"Air travel",17
"Bahai Percentage",17
"CapitalOrRevenue",17
"Dates",17
"Disabled Headcount",17
"Expenditure",17
"Expense Area Number",17
"Heterosexual (Straight) Man Headcount",17
"Heterosexual (Straight) Man Percentage",17
"Heterosexual (Straight) Woman Headcount",17
"Heterosexual (Straight) Woman Percentage",17
"Micro-Category",17
"Net",17
"Non-Disabled Headcount",17
"Sub-Category",17
"TransNo",17
"16-19 Headcount",16
"16-19 Percentage",16
"Analysis",16
"Bisexual Man Headcount",16
"Bisexual Man Percentage",16
"Bisexual Woman Headcount",16
"Bisexual Woman Percentage",16
"card_description",16
"cycle_ref",16
"foreign_currency",16
"foreign_currency_amt",16
"home_currency",16
"Latitude",16
"merchant_city",16
"merchant_name",16
"Non-Disclosed Percentage",16
"posting_date",16
"Purpose of trip",16
"Text",16
"Trans Postdate",16
"transaction_amount",16
"transaction_date",16
"Amount ÔøΩ's",15
"BodyName",15
"Merchant Country",15
"Non-Disclosed Headcount",15
"Rail/Tube travel",15
"Taxi/Car travel",15
"Title",15
"Accommodation/Meals travel",14
"Cardholder reference",14
"Code",14
"Cost Centre Name",14
"ePIMS Holding Ref",14
"FTE of minimum contract",14
"FTE pay ceiling",14
"FTE pay floor",14
"Headcount Declared Disabled",14
"Invoice Num",14
"Item Text",14
"Net amount",14
"Pay band",14
"Percentage declared disabled",14
"Senior official or Non-Executive Director",14
"Subjective Name",14
"TransactionNumber",14
"Analysis Code Name",13
"Analysis Code Number",13
"Billing Amount",13
"CPS outcomes by principal offence category bedfordshire",13
"CPS outcomes by principal offence category cambridgeshire",13
"CPS outcomes by principal offence category cheshire",13
"CPS outcomes by principal offence category cleveland",13
"CPS outcomes by principal offence category cumbria",13
"CPS outcomes by principal offence category derbyshire",13
"CPS outcomes by principal offence category dorset",13
"CPS outcomes by principal offence category durham",13
"CPS outcomes by principal offence category essex",13
"CPS outcomes by principal offence category gloucestershire",13
"CPS outcomes by principal offence category gwent",13
"CPS outcomes by principal offence category hampshire",13
"CPS outcomes by principal offence category hertfordshire",13
"CPS outcomes by principal offence category humberside",13
"CPS outcomes by principal offence category kent",13
"CPS outcomes by principal offence category lancashire",13
"CPS outcomes by principal offence category leicestershire",13
"CPS outcomes by principal offence category lincolnshire",13
"CPS outcomes by principal offence category merseyside",13
"CPS outcomes by principal offence category norfolk",13
"CPS outcomes by principal offence category northamptonshire",13
"CPS outcomes by principal offence category northumbria",13
"CPS outcomes by principal offence category nottinghamshire",13
"CPS outcomes by principal offence category staffordshire",13
"CPS outcomes by principal offence category suffolk",13
"CPS outcomes by principal offence category sussex",13
"CPS outcomes by principal offence category warwickshire",13
"CPS outcomes by principal offence category wiltshire",13
"Current Quarter Month 1 Female",13
"Current Quarter Month 1 Male",13
"Current Quarter Month 2 Female",13
"Current Quarter Month 2 Male",13
"Current Quarter Month 3 Female",13
"Current Quarter Month 3 Male",13
"Date given",13
"Either Way Offences and Attempts ",13
"ExpenditureCategory",13
"EXPENSE_AREA",13
"EXPENSE_TYPE",13
"GL Date",13
"Local Authority",13
"Merchant Currency Description",13
"NetAmount",13
"Pay date",13
"Permanent Secretary",13
"PO NUMBER",13
"Previous Quarter Month 1 Female",13
"Previous Quarter Month 1 Male",13
"Previous Quarter Month 2 Female",13
"Previous Quarter Month 2 Male",13
"Previous Quarter Month 3 Female",13
"Previous Quarter Month 3 Male",13
"Service Division Categorisation",13
"ServiceDivisionLabel",13
"ServiceLabel",13
"Summary offences and offences triable only summarily",13
"Supplier VAT Registration Number",13
"Transation number",13
"Type of Conditional Caution",13
"A Valid?",12
"ACCOUNTING_DATE",12
"Activity lookup",12
"Amount £'s",12
"Amount(excluding VAT)",12
"Ath Level9",12
"B Valid?",12
"Business Size",12
"BVACOP class",12
"C Valid?",12
"CC look up",12
"Cert Date",12
"CONTRACT_NUMBER",12
"CPS outcomes by principal offence category surrey",12
"Current Year Month 1",12
"Current Year Month 2",12
"Current Year Month 3",12
"D Valid?",12
"Date of Meeting ",12
"Date(s) of trip",12
"DatePaid",12
"Department family(T)",12
"Dept",12
"DetailedExpenditureCode",12
"DetailedExpenditureType",12
"DEVELOPMENT",12
"E Valid?",12
"Entity Name",12
"EXPENDITURE_TYPE",12
"F Valid?",12
"FOR",12
"Full CC ",12
"G Valid?",12
"General Ledger code Description",12
"Gl Order Number",12
"Group/Department",12
"H Valid?",12
"I Valid?",12
"ID Number",12
"Input date",12
"INTERNATIONAL",12
"J Valid?",12
"Job No",12
"Na Code",12
"Na Postcode",12
"Na Vat Reg No",12
"Non-Compliance - Disposal Options",12
"Previous Year Month 1",12
"Previous Year Month 2",12
"Previous Year Month 3",12
"PROJECT_CODE",12
"Revenue/ Capital Spend",12
"Row Blank?",12
"Slt Description",12
"Supplier post code (first 4 digits)",12
"SUPPLIER_TYPE",12
"TRANSACTION_NUM",12
"Type of Expenditure - Subjective Codes",12
"V18",12
"VAT_REGISTRATION_NUM",12
"Vendor Number",12
" Accounts 2011-12",11
" No. FTE Employees ",11
"Account code description",11
"Capital or revenue",11
"Comment",11
"Company Name",11
"CONSTITUENCY",11
"Cost Centre Code",11
"CPS outcomes by principal offence category dyfed_powys",11
"CPS outcomes by principal offence category greater_manchester",11
"CPS outcomes by principal offence category north_wales",11
"CPS outcomes by principal offence category north_yorkshire",11
"CPS outcomes by principal offence category south_wales",11
"CPS outcomes by principal offence category south_yorkshire",11
"CPS outcomes by principal offence category thames_valley",11
"CPS outcomes by principal offence category west_midlands",11
"CPS outcomes by principal offence category west_yorkshire",11
"Department for International Development",11
"Detailed Expenses Desc",11
"E-mail",11
"Gross Amount",11
"Gross Budget Responsibility 11/12 (£m)",11
"Invoice Ref.",11
"Merchant Town",11
"NEW Expense Area",11
"No. of Trans",11
"Non Compliance Rates ",11
"PO Expense Area",11
"PO Expense Type",11
"Post Code",11
"Property Description",11
"Q4 2010/2011",11
"Service Area Cat Desc",11
"Supplier Ref",11
"This Sheet Valid?",11
"Value £p",11
"Year/period",11
" Amount (ú) ",10
"Annual Paybill (delegated grades for financial year 2010/11)",10
"Benefitting Country Code",10
"Benefitting Country Name",10
"Calendar Year",10
"Channel of Delivery Code",10
"Climate Change - Adaptation",10
"Climate Change - Mitigation",10
"CPS outcomes by principal offence category west_mercia",10
"Date of approval",10
"Declared - Non Disabled Headcount",10
"Detailed expenses type",10
"Donor Project Number",10
"Expenditure category",10
"Extending Agency",10
"FTC",10
"Headcount (delegated grades as at 31 March 2011)",10
"Information for SCS on non-standard contracts - Number of SCS on non-standard contarcts - headcount (as at 31 March 2011)",10
"Information for SCS on non-standard contracts Value of maximum MCPRP paid to a member of SCS non-standard contract staff",10
"Input Sector code",10
"Inv Amt",10
"Nature of Submission",10
"Pay Amt",10
"Payment Description",10
"Project Description",10
"Project Title",10
"Q2 2011/2012",10
"Q2 2012/2013",10
"Q3 2011/2012",10
"SCS on standard contracts (end of year NCPRP) - Annual SCS paybill for those SCS on standard contracts (for financial year 2010/11)",10
"SCS on standard contracts (end of year NCPRP) - Cost of NCPRP for SCS standard contract staff as a % of SCS standard contract staff paybill for 2010/11 (%)",10
"SCS on standard contracts (end of year NCPRP) - Number of SCS on standard contracts - Headcount (as at 31 March 2011)",10
"SCS on standard contracts (end of year NCPRP) - Value of maximum NCPRP paid to a member of SCS standard contract staff in 2010/11",10
"Service label",10
"To",10
"Type of Aid",10
"Type of Finance",10
"Type of Flow",10
"ANNOUNCEMENT_DATE",9
"Annual Paybill (delegated grades for financial year 2011/12)",9
"APPLICANT_NAME",9
"APPLICANT_START_DATE",9
"CHARITABLE_STATUS",9
"CHARITY_NUMBER",9
"Company code",9
"COMPANY_NUMBER",9
"CONSTITUENCY_CODE",9
"Country / Dept",9
"CURRENT_AWARD",9
"Date gift received",9
"DECISION_DATE",9
"Department/organisation name",9
"Detailed expense code",9
"Document code",9
"Document currency",9
"Document date",9
"Document value",9
"DocumentNo",9
"FUNDER_NAME",9
"GBP value",9
"Gross",9
"Headcount (delegated grades as at 31 March 2012)",9
"Holding Type Description",9
"Information for SCS on non-standard contracts - Number of SCS on non-standard contarcts - headcount (as at 31 March 2012)",9
"Information for SCS on non-standard contracts Value of maximum MCPRP paid to a member of SCS non-standard contract staff for 2011/12",9
"Invoice Date",9
"LA_AREA",9
"LA_AREA_CODE",9
"Location",9
"Number of officials accompanying Minister, where non-scheduled travel is used   ",9
"ORGANISATION_TYPE",9
"Page",9
"Phone",9
"PRESS_SUMMARY",9
"PROGRAMME_NAME",9
"Purchase Type",9
"Q1 2010/2011",9
"Q1 2011/2012",9
"Q1 2012/2013",9
"Q3 2010/2011",9
"REGION_CODE",9
"SCS on standard contracts (end of year NCPRP) - Annual SCS paybill for those SCS on standard contracts (for financial year 2011/12)",9
"SCS on standard contracts (end of year NCPRP) - Cost of NCPRP for SCS standard contract staff as a % of SCS standard contract staff paybill for 2011/12 (%)",9
"SCS on standard contracts (end of year NCPRP) - Number of SCS on standard contracts - Headcount (as at 31 March 2012)",9
"SCS on standard contracts (end of year NCPRP) - Value of maximum NCPRP paid to a member of SCS standard contract staff for 2011/12",9
"Senior official",9
"Service divison label",9
"Status Undeclared Headcount",9
"Status Undeclared Percentage",9
"Supplier Site Postcode",9
"Tax value",9
"Total Staff",9
"Value (over £140)",9
"Alternate Supplier Name",8
"Amount Paid",8
"Amount SUM",8
"Cleared Date",8
"Cost Center",8
"Creditor Name    ",8
"Data field position",8
"Element 2",8
"Expense area desc",8
"Fund Type",8
"GL Code Net Amount",8
"Gross Amt",8
"Name of Adviser",8
"Nett Amount",8
"ÔªøDepartment",8
"OS(NPP) Official Search of Part without Priority",8
"OS(NPW) Official Search of Whole without priority",8
"OS(P) Official Search of Part with Priority",8
"OS(W) Official Search of Whole with priority",8
"PO Line Description",8
"Project Number",8
"Q2 2010/2011",8
"Tax Code",8
"Total value",8
"Transafction Posting Date",8
"Transation Description",8
"Value (£M)",8
"Vat Registration Num",8
"YEAR",8
"Activity",7
"Commitment date",7
"Contract no.",7
"COST CODE",7
"CPS outcomes by principal offence category avon_and_somerset",7
"CPS outcomes by principal offence category devon_and_cornwall",7
"CPS outcomes by principal offence category metropolitan_and_city",7
"Entity(T)",7
"Expense Area Code",7
"Expense area(T)",7
"Expense Type Code",7
"Expense type(T)",7
"GREATER LONDON",7
"Justification",7
"Merchant Category Code",7
"Merchant Category Group",7
"No.32 (The Royal) Squadron'  or 'other RAF' or 'Charter' or 'Eurostar'",7
"Non-Payroll staff (contingent labour/consultancy) costs",7
"Number of Admin Finalised Unsuccessful",7
"Number of All Other Offences (excluding Motoring) Convictions",7
"Number of All Other Offences (excluding Motoring) Unsuccessful",7
"Number of Burglary Convictions",7
"Number of Burglary Unsuccessful",7
"Number of Criminal Damage Convictions",7
"Number of Criminal Damage Unsuccessful",7
"Number of Drugs Offences Convictions",7
"Number of Drugs Offences Unsuccessful",7
"Number of Fraud And Forgery Convictions",7
"Number of Fraud And Forgery Unsuccessful",7
"Number of Homicide Convictions",7
"Number of Homicide Unsuccessful",7
"Number of Motoring Offences Convictions",7
"Number of Motoring Offences Unsuccessful",7
"Number of Offences Against The Person Convictions",7
"Number of Offences Against The Person Unsuccessful",7
"Number of Public Order Offences Convictions",7
"Number of Public Order Offences Unsuccessful",7
"Number of Robbery Convictions",7
"Number of Robbery Unsuccessful",7
"Number of Sexual Offences Convictions",7
"Number of Sexual Offences Unsuccessful",7
"Number of Theft And Handling Convictions",7
"Number of Theft And Handling Unsuccessful",7
"Original Currency Amount",7
"Percentage of All Other Offences (excluding Motoring) Convictions",7
"Percentage of All Other Offences (excluding Motoring) Unsuccessful",7
"Percentage of Burglary Convictions",7
"Percentage of Burglary Unsuccessful",7
"Percentage of Criminal Damage Convictions",7
"Percentage of Criminal Damage Unsuccessful",7
"Percentage of Drugs Offences Convictions",7
"Percentage of Drugs Offences Unsuccessful",7
"Percentage of Fraud And Forgery Convictions",7
"Percentage of Fraud And Forgery Unsuccessful",7
"Percentage of Homicide Convictions",7
"Percentage of Homicide Unsuccessful",7
"Percentage of L Motoring Offences Unsuccessful",7
"Percentage of Motoring Offences Convictions",7
"Percentage of Motoring Offences Unsuccessful",7
"Percentage of Offences Against The Person Convictions",7
"Percentage of Offences Against The Person Unsuccessful",7
"Percentage of Public Order Offences Convictions",7
"Percentage of Public Order Offences Unsuccessful",7
"Percentage of Robbery Convictions",7
"Percentage of Robbery Unsuccessful",7
"Percentage of Sexual Offences Convictions",7
"Percentage of Sexual Offences Unsuccessful",7
"Percentage of Theft And Handling Convictions",7
"Percentage of Theft And Handling Unsuccessful",7
"post_date",7
"Ref",7
"Ref No",7
"Referrals",7
"Salary Costs of Reports",7
"Supplier Inv.No.",7
"SUPPLIER_OBS_TYPE",7
"T",7
"Total known Headcount",7
"Transaction ID",7
"Voucher Date",7
"ACC CODE",6
"Account Description",6
"Amount partially untied",6
"Amount tied",6
"Amount Untied",6
"Approximate Sessions",6
"Arrears of Interest",6
"Arrears of Principal inc in previous field",6
"Budget",6
"Budget Boundary",6
"Column 1",6
"Column 2",6
"Column 3",6
"CPS outcomes by principal offence category sum",6
"Declared - Non Disabled Percentage",6
"Department and Entity",6
"Department Property Ref",6
"Dept Occupation Ref",6
"DETAIL",6
"Entered On",6
"EXCEPTIONS",6
"Final Repayment Date",6
"Final Transaction Amount",6
"First Repayment Date",6
"Floor Area Type",6
"From W/e",6
"Future Debt service: first year, interest",6
"Future Debt service: first year, principal",6
"GL_CODE",6
"Holding Type",6
"Home",6
"Interest Rate",6
"Interest Received",6
"Job Function",6
"L",6
"NO",6
"No of Repayments per Annum",6
"NoResult pages",6
"Occupation Name",6
"Occupation Type",6
"Office",6
"Order no.",6
"Other pages",6
"Page Views",6
"Percentage declared non-disabled",6
"Phrase",6
"Principal Disbursed & still outstanding",6
"Property",6
"Q4 2011/2012",6
"REPORTED",6
"Resource/Capital",6
"Results pages",6
"Second Interest Rate",6
"Special Adviser",6
"Specific-product pages",6
"Spending Programme",6
"Tenant Department",6
"Tenant Property Centre",6
"Total Known",6
"Transaction reference number",6
"Type of Repayment",6
"Voucher",6
" Amount (¬£)",5
" Value Approved ",5
" Value requested ",5
"ActualAnnSal",5
"Address1",5
"Address2",5
"Administration",5
"Allocation Date",5
"Chief Executive ",5
"Column 4",5
"Column 5",5
"Column 6",5
"Column 7",5
"Comments
(NB: These will be published alongside your row of information)",5
"COST",5
"Country",5
"CPS outcomes by principal offence category reas",5
"Cycle Date",5
"D",5
"Date Available From",5
"Date Available Until",5
"Deparment Family",5
"Department Group",5
"Dir of Markets & Economics ",5
"Director -  Finance & Business Services ",5
"Director- Legal",5
"Entitiy",5
"Force",5
"GPC?",5
"Headcount Female",5
"Holding Area",5
"Holding Area Type Description",5
"Large",5
"Lattitude",5
"MCG",5
"Moratorium",5
"NAC Alias",5
"No Information Percentage",5
"Percentage",5
"Percentage Female",5
"Publisher",5
"Purchasing Item Text",5
"Q1 2013/2014",5
"Q2 2013/2014",5
