Column,x
230,Generic Job Title
231,Number of Posts in FTE
232,Professional/Occupational Group
233,Parent Department
234,Organisation
235,Unit
236,Reporting SCS post reference
237,Grade
238,Payscale minimum (National)
239,Payscale maximum (National)
240,TOTAL Number of such posts in FTE
241,Post Unique Reference
242,Name
243,Grade
244,Job Title
245,Job/Team Function
246,Parent Department
247,Organisation
248,Unit
249,Contact Phone
250,Contact E-mail
251,Reports to Senior Post
252,Salary Cost of Reports (£)
253,FTE
254,Actual Pay Floor (£)
255,Actual Pay Ceiling (£)
256,Total Pay (£)
257,Profession
258,Notes
259,Valid?
260,Parent Department
261,Organisation
262,Unit
263,Reporting Senior Post
264,Grade
265,Payscale Minimum (£)
266,Payscale Maximum (£)
267,Generic Job Title
268,Number of Posts in FTE
269,Profession
270,Post Unique Reference
271,Name
272,Grade
273,Job Title
274,Job/Team Function
275,Parent Department
276,Organisation
277,Unit
278,Contact Phone
279,Contact E-mail
280,Reports to Senior Post
281,Salary Cost of Reports (£)
282,FTE
283,Actual Pay Floor (£)
284,Actual Pay Ceiling (£)
285,V16
286,Professional/Occupational Group
287,Notes
288,Valid?
289,Parent Department
290,Organisation
291,Unit
292,Reporting Senior Post
293,Grade
294,Payscale Minimum (£)
295,Payscale Maximum (£)
296,Generic Job Title
297,Number of Posts in FTE
298,Professional/Occupational Group
299,Parent Department
300,Organisation
301,Unit
302,Reporting Senior Post
303,Grade
304,Payscale Minimum (£)
305,Payscale Maximum (£)
306,Generic Job Title
307,Number of Posts in FTE
308,Professional/Occupational Group
309,Post Unique Reference
310,Name
311,Grade (or equivalent)
312,Job Title
313,Job/Team Function
314,Parent Department
315,Organisation
316,Unit
317,Contact Phone
318,Contact E-mail
319,Reports to Senior Post
320,Salary Cost of Reports (£)
321,FTE
322,Actual Pay Floor (£)
323,Actual Pay Ceiling (£)
324,V16
325,Professional/Occupational Group
326,Notes
327,Valid?
328,Post Unique Reference
329,Name
330,Grade (or equivalent)
331,Job Title
332,Job/Team Function
333,Parent Department
334,Organisation
335,Unit
336,Contact Phone
337,Contact E-mail
338,Reports to Senior Post
339,Salary Cost of Reports (£)
340,FTE
341,Actual Pay Floor (£)
342,Actual Pay Ceiling (£)
343,V16
344,Professional/Occupational Group
345,Notes
346,Valid?
347,Parent Department
348,Organisation
349,Unit
350,Reporting Senior Post
351,Grade
352,Payscale Minimum (£)
353,Payscale Maximum (£)
354,Generic Job Title
355,Number of Posts in FTE
356,Professional/Occupational Group
357,Post Unique Reference
358,Name
359,Grade
360,Job Title
361,Job/Team Function
362,Parent Department
363,Organisation
364,Unit
365,Contact Phone
366,Contact E-mail
367,Reports to Senior Post
368,Salary Cost of Reports (£)
369,FTE
370,Actual Pay Floor (£)
371,Actual Pay Ceiling (£)
372,Total Pay (£)
373,Profession
374,Notes
375,Valid?
376,Post Unique Reference
377,Name
378,Grade
379,Job Title
380,Job/Team Function
381,Parent Department
382,Organisation
383,Unit
384,Contact Phone
385,Contact E-mail
386,Reports to Senior Post
387,Salary Cost of Reports (£)
388,FTE
389,Actual Pay Floor (£)
390,Actual Pay Ceiling (£)
391,V16
392,Professional/Occupational Group
393,Notes
394,Valid?
395,Parent Department
396,Organisation
397,Unit
398,Reporting Senior Post
399,Grade
400,Payscale Minimum (£)
401,Payscale Maximum (£)
402,Generic Job Title
403,Number of Posts in FTE
404,Professional/Occupational Group
405,Post Unique Reference
406,Name
407,Grade (or equivalent)
408,Job Title
409,Job/Team Function
410,Parent Department
411,Organisation
412,Unit
413,Contact Phone
414,Contact E-mail
415,Reports to Senior Post
416,Salary Cost of Reports (£)
417,FTE
418,Actual Pay Floor (£)
419,Actual Pay Ceiling (£)
420,V16
421,Professional/Occupational Group
422,Notes
423,Valid?
424,Post Unique Reference
425,Name
426,Grade
427,Job Title
428,Job/Team Function
429,Parent Department
430,Organisation
431,Unit
432,Contact Phone
433,Contact E-mail
434,Reports to Senior Post
435,Salary Cost of Reports (£)
436,FTE
437,Actual Pay Floor (£)
438,Actual Pay Ceiling (£)
439,V16
440,Professional/Occupational Group
441,Notes
442,Valid?
443,Parent Department
444,Organisation
445,Unit
446,Reporting Senior Post
447,Grade
448,Payscale Minimum (£)
449,Payscale Maximum (£)
450,Generic Job Title
451,Number of Posts in FTE
452,Professional/Occupational Group
453,Parent Department
454,Organisation
455,Unit
456,Reporting Senior Post
457,Grade
458,Payscale Minimum (£)
459,Payscale Maximum (£)
460,Generic Job Title
461,Number of Posts in FTE
462,Professional/Occupational Group
463,Post Unique Reference
464,Name
465,Grade (or equivalent)
466,Job Title
467,Job/Team Function
468,Parent Department
469,Organisation
470,Unit
471,Contact Phone
472,Contact E-mail
473,Reports to Senior Post
474,Salary Cost of Reports (£)
475,FTE
476,Actual Pay Floor (£)
477,Actual Pay Ceiling (£)
478,V16
479,Professional/Occupational Group
480,Notes
481,Valid?
482,Parent Department
483,Organisation
484,Unit
485,Reporting Senior Post
486,Grade
487,Payscale Minimum (£)
488,Payscale Maximum (£)
489,Generic Job Title
490,Number of Posts in FTE
491,Professional/Occupational Group
492,Post Unique Reference
493,Name
494,Grade (or equivalent)
495,Job Title
496,Job/Team Function
497,Parent Department
498,Organisation
499,Unit
500,Contact Phone
501,Contact E-mail
502,Reports to Senior Post
503,Salary Cost of Reports (£)
504,FTE
505,Actual Pay Floor (£)
506,Actual Pay Ceiling (£)
507,V16
508,Professional/Occupational Group
509,Notes
510,Valid?
511,Parent Department
512,Organisation
513,Unit
514,Reporting Senior Post
515,Grade
516,Payscale Minimum (£)
517,Payscale Maximum (£)
518,Generic Job Title
519,Number of Posts in FTE
520,Professional/Occupational Group
521,<html>
522,<html>
523,<html>
524,<html>
525,Post Unique Reference
526,Name
527,Grade
528,Job Title
529,Job/Team Function
530,Parent Department
531,Organisation
532,Unit
533,Contact Phone
534,Contact E-mail
535,Reports To
536,Salary Cost of Reports
537,Notes
538,Parent Department
539,Organisation
540,Unit
541,Reporting SCS post reference
542,Grade
543,Payscale minimum
544,Payscale maximum
545,Generic Job Title
546,Number of such posts in FTE
547,Notes
548,Parent Department
549,Organisation
550,Directorate
551,Reporting SCS post reference
552,Grade
553,Payscale minimum (National)
554,Payscale maximum (National)
555,TOTAL Number of such posts in FTE
556,Post Unique Reference
557,Name
558,Grade
559,Job Title
560,Job/Team Function
561,Parent Department
562,Organisation
563,Unit
564,Contact Phone
565,Contact E-mail
566,Reports to Senior Post
567,Salary Cost of Reports (£)
568,FTE
569,Actual Pay Floor (£)
570,Actual Pay Ceiling (£)
571,V16
572,Profession
573,Notes
574,Valid?
575,Parent Department
576,Organisation
577,Unit
578,Reporting Senior Post
579,Grade
580,Payscale Minimum (£)
581,Payscale Maximum (£)
582,Generic Job Title
583,Number of Posts in FTE
584,Profession
585,Post Unique Reference
586,Name
587,Grade
588,Job Title
589,Job/Team Function
590,Parent Department
591,Organisation
592,Unit
593,Contact Phone
594,Contact E-mail
595,Reports to Senior Post
596,Salary Cost of Reports (£)
597,FTE
598,Actual Pay Floor (£)
599,Actual Pay Ceiling (£)
600,V16
601,Professional/Occupational Group
602,Notes
603,Valid?
604,Post Unique Reference
605,Name
606,Grade (or equivalent)
607,Job Title
608,Job/Team Function
609,Parent Department
610,Organisation
611,Unit
612,Contact Phone
613,Contact E-mail
614,Reports to Senior Post
615,Salary Cost of Reports (£)
616,FTE
617,Actual Pay Floor (£)
618,Actual Pay Ceiling (£)
619,V16
620,Professional/Occupational Group
621,Notes
622,Valid?
623,Parent Department
624,Organisation
625,Unit
626,Reporting Senior Post
627,Grade
628,Payscale Minimum (£)
629,Payscale Maximum (£)
630,Generic Job Title
631,Number of Posts in FTE
632,Professional/Occupational Group
633,Post Unique Reference
634,Name
635,Grade (or equivalent)
636,Job Title
637,Job/Team Function
638,Parent Department
639,Organisation
640,Unit
641,Contact Phone
642,Contact E-mail
643,Reports to Senior Post
644,Salary Cost of Reports (£)
645,FTE
646,Actual Pay Floor (£)
647,Actual Pay Ceiling (£)
648,V16
649,Professional/Occupational Group
650,Notes
651,Valid?
652,Parent Department
653,Organisation
654,Unit
655,Reporting Senior Post
656,Grade
657,Payscale Minimum (£)
658,Payscale Maximum (£)
659,Generic Job Title
660,Number of Posts in FTE
661,Professional/Occupational Group
662,Post Unique Reference
663,Name
664,Grade (or equivalent)
665,Job Title
666,Job/Team Function
667,Parent Department
668,Organisation
669,Unit
670,Contact Phone
671,Contact E-mail
672,Reports to Senior Post
673,Salary Cost of Reports (£)
674,FTE
675,Actual Pay Floor (£)
676,Actual Pay Ceiling (£)
677,V16
678,Professional/Occupational Group
679,Notes
680,Valid?
681,Parent Department
682,Organisation
683,Unit
684,Reporting Senior Post
685,Grade
686,Payscale Minimum (£)
687,Payscale Maximum (£)
688,Generic Job Title
689,Number of Posts in FTE
690,Professional/Occupational Group
691,Parent Department
692,Organisation
693,Unit
694,Reporting Senior Post
695,Grade
696,Payscale Minimum (£)
697,Payscale Maximum (£)
698,Generic Job Title
699,Number of Posts in FTE
700,Profession
701,Post Unique Reference
702,Name
703,Grade
704,Job Title
705,Job/Team Function
706,Parent Department
707,Organisation
708,Unit
709,Contact Phone
710,Contact E-mail
711,Reports to Senior Post
712,Salary Cost of Reports (£)
713,FTE
714,Actual Pay Floor (£)
715,Actual Pay Ceiling (£)
716,V16
717,Professional/Occupational Group
718,Notes
719,Valid?
720,Parent Department
721,Organisation
722,Unit
723,Reporting Senior Post
724,Grade
725,Payscale Minimum (£)
726,Payscale Maximum (£)
727,Generic Job Title
728,Number of Posts in FTE
729,Professional/Occupational Group
730,Post Unique Reference
731,Name
732,Grade (or equivalent)
733,Job Title
734,Job/Team Function
735,Parent Department
736,Organisation
737,Unit
738,Contact Phone
739,Contact E-mail
740,Reports to Senior Post
741,Salary Cost of Reports (£)
742,FTE
743,Actual Pay Floor (£)
744,Actual Pay Ceiling (£)
745,V16
746,Professional/Occupational Group
747,Notes
748,Valid?
749,Parent Department
750,Organisation
751,Unit
752,Reporting Senior Post
753,Grade
754,Payscale Minimum (£)
755,Payscale Maximum (£)
756,Generic Job Title
757,Number of Posts in FTE
758,Professional/Occupational Group
759,Post Unique Reference
760,Name
761,Grade (or equivalent)
762,Job Title
763,Job/Team Function
764,Parent Department
765,Organisation
766,Unit
767,Contact Phone
768,Contact E-mail
769,Reports to Senior Post
770,Salary Cost of Reports (£)
771,FTE
772,Actual Pay Floor (£)
773,Actual Pay Ceiling (£)
774,V16
775,Professional/Occupational Group
776,Notes
777,Valid?
778,Parent Department
779,Organisation
780,Unit
781,Reporting Senior Post
782,Grade
783,Payscale Minimum (£)
784,Payscale Maximum (£)
785,Generic Job Title
786,Number of Posts in FTE
787,Professional/Occupational Group
788,Post Unique Reference
789,Name
790,Grade
791,Job Title
792,Job/Team Function
793,Parent Department
794,Organisation
795,Unit
796,Contact Phone
797,Contact E-mail
798,Reports to Senior Post
799,Salary Cost of Reports (£)
800,FTE
801,Actual Pay Floor (£)
802,Actual Pay Ceiling (£)
803,V16
804,Profession
805,Notes
806,Valid?
807,Parent Department
808,Organisation
809,Unit
810,Reporting Senior Post
811,Grade
812,Payscale Minimum (£)
813,Payscale Maximum (£)
814,Generic Job Title
815,Number of Posts in FTE
816,Profession
817,Parent Department
818,Organisation
819,Unit
820,Reporting Senior Post
821,Grade
822,Payscale Minimum (£)
823,Payscale Maximum (£)
824,Generic Job Title
825,Number of Posts in FTE
826,Professional/Occupational Group
827,Post Unique Reference
828,Name
829,Grade
830,Job Title
831,Job/Team Function
832,Parent Department
833,Organisation
834,Unit
835,Contact Phone
836,Contact E-mail
837,Reports to Senior Post
838,Salary Cost of Reports (£)
839,FTE
840,Actual Pay Floor (£)
841,Actual Pay Ceiling (£)
842,V16
843,Professional/Occupational Group
844,Notes
845,Valid?
846,Post Unique Reference
847,Name
848,Grade (or equivalent)
849,Job Title
850,Job/Team Function
851,Parent Department
852,Organisation
853,Unit
854,Contact Phone
855,Contact E-mail
856,Reports to Senior Post
857,Salary Cost of Reports (£)
858,FTE
859,Actual Pay Floor (£)
860,Actual Pay Ceiling (£)
861,V16
862,Professional/Occupational Group
863,Notes
864,Valid?
865,Parent Department
866,Organisation
867,Unit
868,Reporting Senior Post
869,Grade
870,Payscale Minimum (£)
871,Payscale Maximum (£)
872,Generic Job Title
873,Number of Posts in FTE
874,Professional/Occupational Group
875,Post Unique Reference
876,Name
877,Grade (or equivalent)
878,Job Title
879,Job/Team Function
880,Parent Department
881,Organisation
882,Unit
883,Contact Phone
884,Contact E-mail
885,Reports to Senior Post
886,Salary Cost of Reports (£)
887,FTE
888,Actual Pay Floor (£)
889,Actual Pay Ceiling (£)
890,V16
891,Professional/Occupational Group
892,Notes
893,Valid?
894,Parent Department
895,Organisation
896,Unit
897,Reporting Senior Post
898,Grade
899,Payscale Minimum (£)
900,Payscale Maximum (£)
901,Generic Job Title
902,Number of Posts in FTE
903,Professional/Occupational Group
904,Post Unique Reference
905,Name
906,Grade (or equivalent)
907,Job Title
908,Job/Team Function
909,Parent Department
910,Organisation
911,Unit
912,Contact Phone
913,Contact E-mail
914,Reports to Senior Post
915,Salary Cost of Reports (£)
916,FTE
917,Actual Pay Floor (£)
918,Actual Pay Ceiling (£)
919,V16
920,Professional/Occupational Group
921,Notes
922,Valid?
923,Parent Department
924,Organisation
925,Unit
926,Reporting Senior Post
927,Grade
928,Payscale Minimum (£)
929,Payscale Maximum (£)
930,Generic Job Title
931,Number of Posts in FTE
932,Professional/Occupational Group
933,Post Unique Reference
934,Name
935,Grade (or equivalent)
936,Job Title
937,Job/Team Function
938,Parent Department
939,Organisation
940,Unit
941,Contact Phone
942,Contact E-mail
943,Reports to Senior Post
944,Salary Cost of Reports (£)
945,FTE
946,Actual Pay Floor (£)
947,Actual Pay Ceiling (£)
948,V16
949,Professional/Occupational Group
950,Notes
951,Valid?
952,Parent Department
953,Organisation
954,Unit
955,Reporting Senior Post
956,Grade
957,Payscale Minimum (£)
958,Payscale Maximum (£)
959,Generic Job Title
960,Number of Posts in FTE
961,Professional/Occupational Group
962,Name
963,Grade
964,Job Title
965,FTE
966,Parent Department
967,Organisation
968,Unit
969,Actual pay floor
970,Actual pay ceiling
971,Notes
972,Post Unique Reference
973,Name
974,Grade
975,Job Title
976,Job/Team Function
977,Parent Department
978,Organisation
979,Unit
980,Contact Phone
981,Contact E-mail
982,Reports to Senior Post
983,Salary Cost of Reports (£)
984,FTE
985,Actual Pay Floor (£)
986,Actual Pay Ceiling (£)
987,V16
988,Profession
989,Notes
990,Valid?
991,Post Unique Reference
992,Name
993,Grade
994,Job Title
995,Job/Team Function
996,Parent Department
997,Organisation
998,Unit
999,Contact Phone
1000,Contact E-mail
1001,Reports to Senior Post
1002,Salary Cost of Reports (£)
1003,FTE
1004,Actual Pay Floor (£)
1005,Actual Pay Ceiling (£)
1006,V16
1007,Professional/Occupational Group
1008,Notes
1009,Valid?
1010,Post Unique Reference
1011,Name
1012,Grade (or equivalent)
1013,Job Title
1014,Job/Team Function
1015,Parent Department
1016,Organisation
1017,Unit
1018,Contact Phone
1019,Contact E-mail
1020,Reports to Senior Post
1021,Salary Cost of Reports (£)
1022,FTE
1023,Actual Pay Floor (£)
1024,Actual Pay Ceiling (£)
1025,V16
1026,Professional/Occupational Group
1027,Notes
1028,Valid?
1029,Post Unique Reference
1030,Name
1031,Grade (or equivalent)
1032,Job Title
1033,Job/Team Function
1034,Parent Department
1035,Organisation
1036,Unit
1037,Contact Phone
1038,Contact E-mail
1039,Reports to Senior Post
1040,Salary Cost of Reports (£)
1041,FTE
1042,Actual Pay Floor (£)
1043,Actual Pay Ceiling (£)
1044,V16
1045,Professional/Occupational Group
1046,Notes
1047,Valid?
1048,Parent Department
1049,Organisation
1050,Unit
1051,Reporting SCS post reference
1052,Grade
1053,Payscale minimum
1054,Payscale maximum
1055,Generic Job Title
1056,Number of such posts in FTE
1057,Notes
1058,Parent Department
1059,Organisation
1060,Unit
1061,Reporting Senior Post
1062,Grade
1063,Payscale Minimum (£)
1064,Payscale Maximum (£)
1065,Generic Job Title
1066,Number of Posts in FTE
1067,Profession
1068,Parent Department
1069,Organisation
1070,Unit
1071,Reporting Senior Post
1072,Grade
1073,Payscale Minimum (£)
1074,Payscale Maximum (£)
1075,Generic Job Title
1076,Number of Posts in FTE
1077,Professional/Occupational Group
1078,Parent Department
1079,Organisation
1080,Unit
1081,Reporting Senior Post
1082,Grade
1083,Payscale Minimum (£)
1084,Payscale Maximum (£)
1085,Generic Job Title
1086,Number of Posts in FTE
1087,Professional/Occupational Group
1088,Parent Department
1089,Organisation
1090,Unit
1091,Reporting Senior Post
1092,Grade
1093,Payscale Minimum (£)
1094,Payscale Maximum (£)
1095,Generic Job Title
1096,Number of Posts in FTE
1097,Professional/Occupational Group
1098,Parent Department
1099,Organisation
1100,Unit
1101,Reporting Senior Post
1102,Grade
1103,Payscale Minimum (£)
1104,Payscale Maximum (£)
1105,Generic Job Title
1106,Number of Posts in FTE
1107,Professional/Occupational Group
1108,Parent Department
1109,Organisation
1110,Unit
1111,Reporting Senior Post
1112,Grade
1113,Payscale Minimum (£)
1114,Payscale Maximum (£)
1115,Generic Job Title
1116,Number of Posts in FTE
1117,Professional/Occupational Group
1118,Post Unique Reference
1119,Name
1120,Grade (or equivalent)
1121,Job Title
1122,Job/Team Function
1123,Parent Department
1124,Organisation
1125,Unit
1126,Contact Phone
1127,Contact E-mail
1128,Reports to Senior Post
1129,Salary Cost of Reports (£)
1130,FTE
1131,Actual Pay Floor (£)
1132,Actual Pay Ceiling (£)
1133,Total Pay (£)
1134,Professional/Occupational Group
1135,Notes
1136,Valid?
1137,Post Unique Reference
1138,Name
1139,Grade
1140,Job Title
1141,Job/Team Function
1142,Parent Department
1143,Organisation
1144,Unit
1145,Contact Phone
1146,Contact E-mail
1147,Reports to Senior Post
1148,Salary Cost of Reports (£)
1149,FTE
1150,Actual Pay Floor (£)
1151,Actual Pay Ceiling (£)
1152,V16
1153,Professional/Occupational Group
1154,Notes
1155,Valid?
1156,Parent Department
1157,Organisation
1158,Unit
1159,Reporting Senior Post
1160,Grade
1161,Payscale Minimum (£)
1162,Payscale Maximum (£)
1163,Generic Job Title
1164,Number of Posts in FTE
1165,Professional/Occupational Group
1166,Post Unique Reference
1167,Name
1168,Grade (or equivalent)
1169,Job Title
1170,Job/Team Function
1171,Parent Department
1172,Organisation
1173,Unit
1174,Contact Phone
1175,Contact E-mail
1176,Reports to Senior Post
1177,Salary Cost of Reports (£)
1178,FTE
1179,Actual Pay Floor (£)
1180,Actual Pay Ceiling (£)
1181,V16
1182,Professional/Occupational Group
1183,Notes
1184,Valid?
1185,Parent Department
1186,Organisation
1187,Unit
1188,Reporting Senior Post
1189,Grade
1190,Payscale Minimum (£)
1191,Payscale Maximum (£)
1192,Generic Job Title
1193,Number of Posts in FTE
1194,Professional/Occupational Group
1195,Post Unique Reference
1196,Name
1197,Grade
1198,Job Title
1199,Job Function
1200,Parent Department
1201,Organisation
1202,Unit
1203,E-mail
1204,Phone
1205,Reports To
1206,"Salary Cost of Reports ( To the nearest £100,000.00)"
1207,Notes
1208,Name
1209,V2
1210,Grade
1211,Job Title
1212,FTE
1213,Parent Department/Sponsor Department
1214,Organisation
1215,Unit
1216,Actual pay floor
1217,Actual pay ceiling
1218,Notes
1219,Parent Department
1220,Organisation
1221,Unit
1222,Reporting SCS post reference
1223,Grade
1224,Number of such posts in FTE
1225,Post Unique Reference
1226,Name
1227,Grade
1228,Job Title
1229,Job/Team Function
1230,Parent Department
1231,Organisation
1232,Unit
1233,Contact Phone
1234,Contact E-mail
1235,Reports to Senior Post
1236,Salary Cost of Reports (£)
1237,FTE
1238,Actual Pay Floor (£)
1239,Actual Pay Ceiling (£)
1240,V16
1241,Professional/Occupational Group
1242,Notes
1243,Valid?
1244,Post Unique Reference
1245,Name
1246,Grade
1247,Job Title
1248,Job/Team Function
1249,Parent Department
1250,Organisation
1251,Unit
1252,Contact Phone
1253,Contact E-mail
1254,Reports to Senior Post
1255,Salary Cost of Reports (£)
1256,FTE
1257,Actual Pay Floor (£)
1258,Actual Pay Ceiling (£)
1259,V16
1260,Professional/Occupational Group
1261,Notes
1262,Valid?
1263,Post Unique Reference
1264,Name
1265,Grade (or equivalent)
1266,Job Title
1267,Job/Team Function
1268,Parent Department
1269,Organisation
1270,Unit
1271,Contact Phone
1272,Contact E-mail
1273,Reports to Senior Post
1274,Salary Cost of Reports (£)
1275,FTE
1276,Actual Pay Floor (£)
1277,Actual Pay Ceiling (£)
1278,V16
1279,Professional/Occupational Group
1280,Notes
1281,Valid?
1282,Post Unique Reference
1283,Name
1284,Grade (or equivalent)
1285,Job Title
1286,Job/Team Function
1287,Parent Department
1288,Organisation
1289,Unit
1290,Contact Phone
1291,Contact E-mail
1292,Reports to Senior Post
1293,Salary Cost of Reports (£)
1294,FTE
1295,Actual Pay Floor (£)
1296,Actual Pay Ceiling (£)
1297,V16
1298,Professional/Occupational Group
1299,Notes
1300,Valid?
1301,Post Unique Reference
1302,Name
1303,Grade (or equivalent)
1304,Job Title
1305,Job/Team Function
1306,Parent Department
1307,Organisation
1308,Unit
1309,Contact Phone
1310,Contact E-mail
1311,Reports to Senior Post
1312,Salary Cost of Reports (£)
1313,FTE
1314,Actual Pay Floor (£)
1315,Actual Pay Ceiling (£)
1316,V16
1317,Professional/Occupational Group
1318,Notes
1319,Valid?
1320,Parent Department
1321,Organisation
1322,Unit
1323,Reporting Senior Post
1324,Grade
1325,Payscale Minimum (£)
1326,Payscale Maximum (£)
1327,Generic Job Title
1328,Number of Posts in FTE
1329,Professional/Occupational Group
1330,Post Unique Reference
1331,Name
1332,Grade
1333,Job Title
1334,Job/Team Function
1335,Parent Department
1336,Organisation
1337,Unit
1338,Contact Phone
1339,Contact E-mail
1340,Reports to Senior Post
1341,Salary Cost of Reports (£)
1342,FTE
1343,Actual Pay Floor (£)
1344,Actual Pay Ceiling (£)
1345,V16
1346,Profession
1347,Notes
1348,Valid?
1349,Parent Department
1350,Organisation
1351,Unit
1352,Reporting Senior Post
1353,Grade
1354,Payscale Minimum (£)
1355,Payscale Maximum (£)
1356,Generic Job Title
1357,Number of Posts in FTE
1358,Profession
1359,Post Unique Reference
1360,Name
1361,Grade (or equivalent)
1362,Job Title
1363,Job/Team Function
1364,Parent Department
1365,Organisation
1366,Unit
1367,Contact Phone
1368,Contact E-mail
1369,Reports to Senior Post
1370,Salary Cost of Reports (£)
1371,FTE
1372,Actual Pay Floor (£)
1373,Actual Pay Ceiling (£)
1374,Total Pay (£)
1375,Professional/Occupational Group
1376,Notes
1377,Parent Department
1378,Organisation
1379,Unit
1380,Reporting Senior Post
1381,Grade
1382,Payscale Minimum (£)
1383,Payscale Maximum (£)
1384,Generic Job Title
1385,Number of Posts in FTE
1386,Professional/Occupational Group
1387,Parent Department
1388,Organisation
1389,Unit
1390,Reporting Senior Post
1391,Grade
1392,Payscale Minimum (£)
1393,Payscale Maximum (£)
1394,Generic Job Title
1395,Number of Posts in FTE
1396,Profession
1397,Parent Department
1398,Organisation
1399,Unit
1400,Reporting Senior Post
1401,Grade
1402,Payscale Minimum (£)
1403,Payscale Maximum (£)
1404,Generic Job Title
1405,Number of Posts in FTE
1406,Professional/Occupational Group
1407,Post Unique Reference
1408,Name
