dataset,header
16,Grade
16,Payscale Minimum (£)
16,Payscale Maximum (£)
16,Generic Job Title
16,Number of Posts in FTE
16,Professional/Occupational Group
17,Parent Department
17,Organisation
17,Unit
17,Reporting SCS post reference
17,Grade
17,Payscale minimum (National)
17,Payscale maximum (National)
17,TOTAL Number of such posts in FTE
18,Post Unique Reference
18,Name
18,Grade
18,Job Title
18,Job/Team Function
18,Parent Department
18,Organisation
18,Unit
18,Contact Phone
18,Contact E-mail
18,Reports to Senior Post
18,Salary Cost of Reports (£)
18,FTE
18,Actual Pay Floor (£)
18,Actual Pay Ceiling (£)
18,Total Pay (£)
18,Profession
18,Notes
18,Valid?
19,Parent Department
19,Organisation
19,Unit
19,Reporting Senior Post
19,Grade
19,Payscale Minimum (£)
19,Payscale Maximum (£)
19,Generic Job Title
19,Number of Posts in FTE
19,Profession
20,Post Unique Reference
20,Name
20,Grade
20,Job Title
20,Job/Team Function
20,Parent Department
20,Organisation
20,Unit
20,Contact Phone
20,Contact E-mail
20,Reports to Senior Post
20,Salary Cost of Reports (£)
20,FTE
20,Actual Pay Floor (£)
20,Actual Pay Ceiling (£)
20,V16
20,Professional/Occupational Group
20,Notes
20,Valid?
21,Parent Department
21,Organisation
21,Unit
21,Reporting Senior Post
21,Grade
21,Payscale Minimum (£)
21,Payscale Maximum (£)
21,Generic Job Title
21,Number of Posts in FTE
21,Professional/Occupational Group
22,Parent Department
22,Organisation
22,Unit
22,Reporting Senior Post
22,Grade
22,Payscale Minimum (£)
22,Payscale Maximum (£)
22,Generic Job Title
22,Number of Posts in FTE
22,Professional/Occupational Group
23,Post Unique Reference
23,Name
23,Grade (or equivalent)
23,Job Title
23,Job/Team Function
23,Parent Department
23,Organisation
23,Unit
23,Contact Phone
23,Contact E-mail
23,Reports to Senior Post
23,Salary Cost of Reports (£)
23,FTE
23,Actual Pay Floor (£)
23,Actual Pay Ceiling (£)
23,V16
23,Professional/Occupational Group
23,Notes
23,Valid?
24,Post Unique Reference
24,Name
24,Grade (or equivalent)
24,Job Title
24,Job/Team Function
24,Parent Department
24,Organisation
24,Unit
24,Contact Phone
24,Contact E-mail
24,Reports to Senior Post
24,Salary Cost of Reports (£)
24,FTE
24,Actual Pay Floor (£)
24,Actual Pay Ceiling (£)
24,V16
24,Professional/Occupational Group
24,Notes
24,Valid?
25,Parent Department
25,Organisation
25,Unit
25,Reporting Senior Post
25,Grade
25,Payscale Minimum (£)
25,Payscale Maximum (£)
25,Generic Job Title
25,Number of Posts in FTE
25,Professional/Occupational Group
26,Post Unique Reference
26,Name
26,Grade
26,Job Title
26,Job/Team Function
26,Parent Department
26,Organisation
26,Unit
26,Contact Phone
26,Contact E-mail
26,Reports to Senior Post
26,Salary Cost of Reports (£)
26,FTE
26,Actual Pay Floor (£)
26,Actual Pay Ceiling (£)
26,Total Pay (£)
26,Profession
26,Notes
26,Valid?
27,Post Unique Reference
27,Name
27,Grade
27,Job Title
27,Job/Team Function
27,Parent Department
27,Organisation
27,Unit
27,Contact Phone
27,Contact E-mail
27,Reports to Senior Post
27,Salary Cost of Reports (£)
27,FTE
27,Actual Pay Floor (£)
27,Actual Pay Ceiling (£)
27,V16
27,Professional/Occupational Group
27,Notes
27,Valid?
28,Parent Department
28,Organisation
28,Unit
28,Reporting Senior Post
28,Grade
28,Payscale Minimum (£)
28,Payscale Maximum (£)
28,Generic Job Title
28,Number of Posts in FTE
28,Professional/Occupational Group
29,Post Unique Reference
29,Name
29,Grade (or equivalent)
29,Job Title
29,Job/Team Function
29,Parent Department
29,Organisation
29,Unit
29,Contact Phone
29,Contact E-mail
29,Reports to Senior Post
29,Salary Cost of Reports (£)
29,FTE
29,Actual Pay Floor (£)
29,Actual Pay Ceiling (£)
29,V16
29,Professional/Occupational Group
29,Notes
29,Valid?
30,Post Unique Reference
30,Name
30,Grade
30,Job Title
30,Job/Team Function
30,Parent Department
30,Organisation
30,Unit
30,Contact Phone
30,Contact E-mail
30,Reports to Senior Post
30,Salary Cost of Reports (£)
30,FTE
30,Actual Pay Floor (£)
30,Actual Pay Ceiling (£)
30,V16
30,Professional/Occupational Group
30,Notes
30,Valid?
31,Parent Department
31,Organisation
31,Unit
31,Reporting Senior Post
31,Grade
31,Payscale Minimum (£)
31,Payscale Maximum (£)
31,Generic Job Title
31,Number of Posts in FTE
31,Professional/Occupational Group
32,Parent Department
32,Organisation
32,Unit
32,Reporting Senior Post
32,Grade
32,Payscale Minimum (£)
32,Payscale Maximum (£)
32,Generic Job Title
32,Number of Posts in FTE
32,Professional/Occupational Group
33,Post Unique Reference
33,Name
33,Grade (or equivalent)
33,Job Title
33,Job/Team Function
33,Parent Department
33,Organisation
33,Unit
33,Contact Phone
33,Contact E-mail
33,Reports to Senior Post
33,Salary Cost of Reports (£)
33,FTE
33,Actual Pay Floor (£)
33,Actual Pay Ceiling (£)
33,V16
33,Professional/Occupational Group
33,Notes
33,Valid?
34,Parent Department
34,Organisation
34,Unit
34,Reporting Senior Post
34,Grade
34,Payscale Minimum (£)
34,Payscale Maximum (£)
34,Generic Job Title
34,Number of Posts in FTE
34,Professional/Occupational Group
35,Post Unique Reference
35,Name
35,Grade (or equivalent)
35,Job Title
35,Job/Team Function
35,Parent Department
35,Organisation
35,Unit
35,Contact Phone
35,Contact E-mail
35,Reports to Senior Post
35,Salary Cost of Reports (£)
35,FTE
35,Actual Pay Floor (£)
35,Actual Pay Ceiling (£)
35,V16
35,Professional/Occupational Group
35,Notes
35,Valid?
36,Parent Department
36,Organisation
36,Unit
36,Reporting Senior Post
36,Grade
36,Payscale Minimum (£)
36,Payscale Maximum (£)
36,Generic Job Title
36,Number of Posts in FTE
36,Professional/Occupational Group
37,<html>
38,<html>
39,<html>
40,<html>
41,Post Unique Reference
41,Name
41,Grade
41,Job Title
41,Job/Team Function
41,Parent Department
41,Organisation
41,Unit
41,Contact Phone
41,Contact E-mail
41,Reports To
41,Salary Cost of Reports
41,Notes
42,Parent Department
42,Organisation
42,Unit
42,Reporting SCS post reference
42,Grade
42,Payscale minimum
42,Payscale maximum
42,Generic Job Title
42,Number of such posts in FTE
42,Notes
43,Parent Department
43,Organisation
43,Directorate
43,Reporting SCS post reference
43,Grade
43,Payscale minimum (National)
43,Payscale maximum (National)
43,TOTAL Number of such posts in FTE
44,Post Unique Reference
44,Name
44,Grade
44,Job Title
44,Job/Team Function
44,Parent Department
44,Organisation
44,Unit
44,Contact Phone
44,Contact E-mail
44,Reports to Senior Post
44,Salary Cost of Reports (£)
44,FTE
44,Actual Pay Floor (£)
44,Actual Pay Ceiling (£)
44,V16
44,Profession
44,Notes
44,Valid?
45,Parent Department
45,Organisation
45,Unit
45,Reporting Senior Post
45,Grade
45,Payscale Minimum (£)
45,Payscale Maximum (£)
45,Generic Job Title
45,Number of Posts in FTE
45,Profession
46,Post Unique Reference
46,Name
46,Grade
46,Job Title
46,Job/Team Function
46,Parent Department
46,Organisation
46,Unit
46,Contact Phone
46,Contact E-mail
46,Reports to Senior Post
46,Salary Cost of Reports (£)
46,FTE
46,Actual Pay Floor (£)
46,Actual Pay Ceiling (£)
46,V16
46,Professional/Occupational Group
46,Notes
46,Valid?
47,Post Unique Reference
47,Name
47,Grade (or equivalent)
47,Job Title
47,Job/Team Function
47,Parent Department
47,Organisation
47,Unit
47,Contact Phone
47,Contact E-mail
47,Reports to Senior Post
47,Salary Cost of Reports (£)
47,FTE
47,Actual Pay Floor (£)
47,Actual Pay Ceiling (£)
47,V16
47,Professional/Occupational Group
47,Notes
47,Valid?
48,Parent Department
48,Organisation
48,Unit
48,Reporting Senior Post
48,Grade
48,Payscale Minimum (£)
48,Payscale Maximum (£)
48,Generic Job Title
48,Number of Posts in FTE
48,Professional/Occupational Group
49,Post Unique Reference
49,Name
49,Grade (or equivalent)
49,Job Title
49,Job/Team Function
49,Parent Department
49,Organisation
49,Unit
49,Contact Phone
49,Contact E-mail
49,Reports to Senior Post
49,Salary Cost of Reports (£)
49,FTE
49,Actual Pay Floor (£)
49,Actual Pay Ceiling (£)
49,V16
49,Professional/Occupational Group
49,Notes
49,Valid?
50,Parent Department
50,Organisation
50,Unit
50,Reporting Senior Post
50,Grade
50,Payscale Minimum (£)
50,Payscale Maximum (£)
50,Generic Job Title
50,Number of Posts in FTE
50,Professional/Occupational Group
51,Post Unique Reference
51,Name
51,Grade (or equivalent)
51,Job Title
51,Job/Team Function
51,Parent Department
51,Organisation
51,Unit
51,Contact Phone
51,Contact E-mail
51,Reports to Senior Post
51,Salary Cost of Reports (£)
51,FTE
51,Actual Pay Floor (£)
51,Actual Pay Ceiling (£)
51,V16
51,Professional/Occupational Group
51,Notes
51,Valid?
52,Parent Department
52,Organisation
52,Unit
52,Reporting Senior Post
52,Grade
52,Payscale Minimum (£)
52,Payscale Maximum (£)
52,Generic Job Title
52,Number of Posts in FTE
52,Professional/Occupational Group
53,Parent Department
53,Organisation
53,Unit
53,Reporting Senior Post
53,Grade
53,Payscale Minimum (£)
53,Payscale Maximum (£)
53,Generic Job Title
53,Number of Posts in FTE
53,Profession
54,Post Unique Reference
54,Name
54,Grade
54,Job Title
54,Job/Team Function
54,Parent Department
54,Organisation
54,Unit
54,Contact Phone
54,Contact E-mail
54,Reports to Senior Post
54,Salary Cost of Reports (£)
54,FTE
54,Actual Pay Floor (£)
54,Actual Pay Ceiling (£)
54,V16
54,Professional/Occupational Group
54,Notes
54,Valid?
55,Parent Department
55,Organisation
55,Unit
55,Reporting Senior Post
55,Grade
55,Payscale Minimum (£)
55,Payscale Maximum (£)
55,Generic Job Title
55,Number of Posts in FTE
55,Professional/Occupational Group
56,Post Unique Reference
56,Name
56,Grade (or equivalent)
56,Job Title
56,Job/Team Function
56,Parent Department
56,Organisation
56,Unit
56,Contact Phone
56,Contact E-mail
56,Reports to Senior Post
56,Salary Cost of Reports (£)
56,FTE
56,Actual Pay Floor (£)
56,Actual Pay Ceiling (£)
56,V16
56,Professional/Occupational Group
56,Notes
56,Valid?
57,Parent Department
57,Organisation
57,Unit
57,Reporting Senior Post
57,Grade
57,Payscale Minimum (£)
57,Payscale Maximum (£)
57,Generic Job Title
57,Number of Posts in FTE
57,Professional/Occupational Group
58,Post Unique Reference
58,Name
58,Grade (or equivalent)
58,Job Title
58,Job/Team Function
58,Parent Department
58,Organisation
58,Unit
58,Contact Phone
58,Contact E-mail
58,Reports to Senior Post
58,Salary Cost of Reports (£)
58,FTE
58,Actual Pay Floor (£)
58,Actual Pay Ceiling (£)
58,V16
58,Professional/Occupational Group
58,Notes
58,Valid?
59,Parent Department
59,Organisation
59,Unit
59,Reporting Senior Post
59,Grade
59,Payscale Minimum (£)
59,Payscale Maximum (£)
59,Generic Job Title
59,Number of Posts in FTE
59,Professional/Occupational Group
60,Post Unique Reference
60,Name
60,Grade
60,Job Title
60,Job/Team Function
60,Parent Department
60,Organisation
60,Unit
60,Contact Phone
60,Contact E-mail
60,Reports to Senior Post
60,Salary Cost of Reports (£)
60,FTE
60,Actual Pay Floor (£)
60,Actual Pay Ceiling (£)
60,V16
60,Profession
60,Notes
60,Valid?
61,Parent Department
61,Organisation
61,Unit
61,Reporting Senior Post
61,Grade
61,Payscale Minimum (£)
61,Payscale Maximum (£)
61,Generic Job Title
61,Number of Posts in FTE
61,Profession
62,Parent Department
62,Organisation
62,Unit
62,Reporting Senior Post
62,Grade
62,Payscale Minimum (£)
62,Payscale Maximum (£)
62,Generic Job Title
62,Number of Posts in FTE
62,Professional/Occupational Group
63,Post Unique Reference
63,Name
63,Grade
63,Job Title
63,Job/Team Function
63,Parent Department
63,Organisation
63,Unit
63,Contact Phone
63,Contact E-mail
63,Reports to Senior Post
63,Salary Cost of Reports (£)
63,FTE
63,Actual Pay Floor (£)
63,Actual Pay Ceiling (£)
63,V16
63,Professional/Occupational Group
63,Notes
63,Valid?
64,Post Unique Reference
64,Name
64,Grade (or equivalent)
64,Job Title
64,Job/Team Function
64,Parent Department
64,Organisation
64,Unit
64,Contact Phone
64,Contact E-mail
64,Reports to Senior Post
64,Salary Cost of Reports (£)
64,FTE
64,Actual Pay Floor (£)
64,Actual Pay Ceiling (£)
64,V16
64,Professional/Occupational Group
64,Notes
64,Valid?
65,Parent Department
65,Organisation
65,Unit
65,Reporting Senior Post
65,Grade
65,Payscale Minimum (£)
65,Payscale Maximum (£)
65,Generic Job Title
65,Number of Posts in FTE
65,Professional/Occupational Group
66,Post Unique Reference
66,Name
66,Grade (or equivalent)
66,Job Title
66,Job/Team Function
66,Parent Department
66,Organisation
66,Unit
66,Contact Phone
66,Contact E-mail
66,Reports to Senior Post
66,Salary Cost of Reports (£)
66,FTE
66,Actual Pay Floor (£)
66,Actual Pay Ceiling (£)
66,V16
66,Professional/Occupational Group
66,Notes
66,Valid?
67,Parent Department
67,Organisation
67,Unit
67,Reporting Senior Post
67,Grade
67,Payscale Minimum (£)
67,Payscale Maximum (£)
67,Generic Job Title
67,Number of Posts in FTE
67,Professional/Occupational Group
68,Post Unique Reference
68,Name
68,Grade (or equivalent)
68,Job Title
68,Job/Team Function
68,Parent Department
68,Organisation
68,Unit
68,Contact Phone
68,Contact E-mail
68,Reports to Senior Post
68,Salary Cost of Reports (£)
68,FTE
68,Actual Pay Floor (£)
68,Actual Pay Ceiling (£)
68,V16
68,Professional/Occupational Group
68,Notes
68,Valid?
69,Parent Department
69,Organisation
69,Unit
69,Reporting Senior Post
69,Grade
69,Payscale Minimum (£)
69,Payscale Maximum (£)
69,Generic Job Title
69,Number of Posts in FTE
69,Professional/Occupational Group
70,Post Unique Reference
70,Name
70,Grade (or equivalent)
70,Job Title
70,Job/Team Function
70,Parent Department
70,Organisation
70,Unit
70,Contact Phone
70,Contact E-mail
70,Reports to Senior Post
70,Salary Cost of Reports (£)
70,FTE
70,Actual Pay Floor (£)
70,Actual Pay Ceiling (£)
70,V16
70,Professional/Occupational Group
70,Notes
70,Valid?
71,Parent Department
71,Organisation
71,Unit
71,Reporting Senior Post
71,Grade
71,Payscale Minimum (£)
71,Payscale Maximum (£)
71,Generic Job Title
71,Number of Posts in FTE
71,Professional/Occupational Group
72,Name
72,Grade
72,Job Title
72,FTE
72,Parent Department
72,Organisation
72,Unit
72,Actual pay floor
72,Actual pay ceiling
72,Notes
73,Post Unique Reference
73,Name
73,Grade
73,Job Title
73,Job/Team Function
73,Parent Department
73,Organisation
73,Unit
73,Contact Phone
73,Contact E-mail
73,Reports to Senior Post
73,Salary Cost of Reports (£)
73,FTE
73,Actual Pay Floor (£)
73,Actual Pay Ceiling (£)
73,V16
73,Profession
73,Notes
73,Valid?
74,Post Unique Reference
74,Name
74,Grade
74,Job Title
74,Job/Team Function
74,Parent Department
74,Organisation
74,Unit
74,Contact Phone
74,Contact E-mail
74,Reports to Senior Post
74,Salary Cost of Reports (£)
74,FTE
74,Actual Pay Floor (£)
74,Actual Pay Ceiling (£)
74,V16
74,Professional/Occupational Group
74,Notes
74,Valid?
75,Post Unique Reference
75,Name
75,Grade (or equivalent)
75,Job Title
75,Job/Team Function
75,Parent Department
75,Organisation
75,Unit
75,Contact Phone
75,Contact E-mail
75,Reports to Senior Post
75,Salary Cost of Reports (£)
75,FTE
75,Actual Pay Floor (£)
75,Actual Pay Ceiling (£)
75,V16
75,Professional/Occupational Group
75,Notes
75,Valid?
76,Post Unique Reference
76,Name
76,Grade (or equivalent)
76,Job Title
76,Job/Team Function
76,Parent Department
76,Organisation
76,Unit
76,Contact Phone
76,Contact E-mail
76,Reports to Senior Post
76,Salary Cost of Reports (£)
76,FTE
76,Actual Pay Floor (£)
76,Actual Pay Ceiling (£)
76,V16
76,Professional/Occupational Group
76,Notes
76,Valid?
77,Parent Department
77,Organisation
77,Unit
77,Reporting SCS post reference
77,Grade
77,Payscale minimum
77,Payscale maximum
77,Generic Job Title
77,Number of such posts in FTE
77,Notes
78,Parent Department
78,Organisation
78,Unit
78,Reporting Senior Post
78,Grade
78,Payscale Minimum (£)
78,Payscale Maximum (£)
78,Generic Job Title
78,Number of Posts in FTE
78,Profession
79,Parent Department
79,Organisation
79,Unit
79,Reporting Senior Post
79,Grade
79,Payscale Minimum (£)
79,Payscale Maximum (£)
79,Generic Job Title
79,Number of Posts in FTE
79,Professional/Occupational Group
80,Parent Department
80,Organisation
80,Unit
80,Reporting Senior Post
80,Grade
80,Payscale Minimum (£)
80,Payscale Maximum (£)
80,Generic Job Title
80,Number of Posts in FTE
80,Professional/Occupational Group
81,Parent Department
81,Organisation
81,Unit
81,Reporting Senior Post
81,Grade
81,Payscale Minimum (£)
81,Payscale Maximum (£)
81,Generic Job Title
81,Number of Posts in FTE
81,Professional/Occupational Group
82,Parent Department
82,Organisation
82,Unit
82,Reporting Senior Post
82,Grade
82,Payscale Minimum (£)
82,Payscale Maximum (£)
82,Generic Job Title
82,Number of Posts in FTE
82,Professional/Occupational Group
83,Parent Department
83,Organisation
83,Unit
83,Reporting Senior Post
83,Grade
83,Payscale Minimum (£)
83,Payscale Maximum (£)
83,Generic Job Title
83,Number of Posts in FTE
83,Professional/Occupational Group
84,Post Unique Reference
84,Name
84,Grade (or equivalent)
84,Job Title
84,Job/Team Function
84,Parent Department
84,Organisation
84,Unit
84,Contact Phone
84,Contact E-mail
84,Reports to Senior Post
84,Salary Cost of Reports (£)
84,FTE
84,Actual Pay Floor (£)
84,Actual Pay Ceiling (£)
84,Total Pay (£)
84,Professional/Occupational Group
84,Notes
84,Valid?
85,Post Unique Reference
85,Name
85,Grade
85,Job Title
85,Job/Team Function
85,Parent Department
85,Organisation
85,Unit
85,Contact Phone
85,Contact E-mail
85,Reports to Senior Post
85,Salary Cost of Reports (£)
85,FTE
85,Actual Pay Floor (£)
85,Actual Pay Ceiling (£)
85,V16
85,Professional/Occupational Group
85,Notes
85,Valid?
86,Parent Department
86,Organisation
86,Unit
86,Reporting Senior Post
86,Grade
86,Payscale Minimum (£)
86,Payscale Maximum (£)
86,Generic Job Title
86,Number of Posts in FTE
86,Professional/Occupational Group
87,Post Unique Reference
87,Name
87,Grade (or equivalent)
87,Job Title
87,Job/Team Function
87,Parent Department
87,Organisation
87,Unit
87,Contact Phone
87,Contact E-mail
87,Reports to Senior Post
87,Salary Cost of Reports (£)
87,FTE
87,Actual Pay Floor (£)
87,Actual Pay Ceiling (£)
87,V16
87,Professional/Occupational Group
87,Notes
87,Valid?
88,Parent Department
88,Organisation
88,Unit
88,Reporting Senior Post
88,Grade
88,Payscale Minimum (£)
88,Payscale Maximum (£)
88,Generic Job Title
88,Number of Posts in FTE
88,Professional/Occupational Group
89,Post Unique Reference
89,Name
89,Grade
89,Job Title
89,Job Function
89,Parent Department
89,Organisation
89,Unit
89,E-mail
89,Phone
89,Reports To
89,"Salary Cost of Reports ( To the nearest £100,000.00)"
89,Notes
90,Name
90,V2
90,Grade
90,Job Title
90,FTE
90,Parent Department/Sponsor Department
90,Organisation
90,Unit
90,Actual pay floor
90,Actual pay ceiling
90,Notes
91,Parent Department
91,Organisation
91,Unit
91,Reporting SCS post reference
91,Grade
91,Number of such posts in FTE
92,Post Unique Reference
92,Name
92,Grade
92,Job Title
92,Job/Team Function
92,Parent Department
92,Organisation
92,Unit
92,Contact Phone
92,Contact E-mail
92,Reports to Senior Post
92,Salary Cost of Reports (£)
92,FTE
92,Actual Pay Floor (£)
92,Actual Pay Ceiling (£)
92,V16
92,Professional/Occupational Group
92,Notes
92,Valid?
93,Post Unique Reference
93,Name
93,Grade
93,Job Title
93,Job/Team Function
93,Parent Department
93,Organisation
93,Unit
93,Contact Phone
93,Contact E-mail
93,Reports to Senior Post
93,Salary Cost of Reports (£)
93,FTE
93,Actual Pay Floor (£)
93,Actual Pay Ceiling (£)
93,V16
93,Professional/Occupational Group
93,Notes
93,Valid?
94,Post Unique Reference
94,Name
94,Grade (or equivalent)
94,Job Title
94,Job/Team Function
94,Parent Department
94,Organisation
94,Unit
94,Contact Phone
94,Contact E-mail
94,Reports to Senior Post
94,Salary Cost of Reports (£)
94,FTE
94,Actual Pay Floor (£)
94,Actual Pay Ceiling (£)
94,V16
94,Professional/Occupational Group
94,Notes
94,Valid?
95,Post Unique Reference
95,Name
95,Grade (or equivalent)
95,Job Title
95,Job/Team Function
95,Parent Department
95,Organisation
95,Unit
95,Contact Phone
95,Contact E-mail
95,Reports to Senior Post
95,Salary Cost of Reports (£)
95,FTE
95,Actual Pay Floor (£)
95,Actual Pay Ceiling (£)
95,V16
95,Professional/Occupational Group
95,Notes
95,Valid?
96,Post Unique Reference
96,Name
96,Grade (or equivalent)
96,Job Title
96,Job/Team Function
96,Parent Department
96,Organisation
96,Unit
96,Contact Phone
96,Contact E-mail
96,Reports to Senior Post
96,Salary Cost of Reports (£)
96,FTE
96,Actual Pay Floor (£)
96,Actual Pay Ceiling (£)
96,V16
96,Professional/Occupational Group
96,Notes
96,Valid?
97,Parent Department
97,Organisation
97,Unit
97,Reporting Senior Post
97,Grade
97,Payscale Minimum (£)
97,Payscale Maximum (£)
97,Generic Job Title
97,Number of Posts in FTE
97,Professional/Occupational Group
98,Post Unique Reference
98,Name
98,Grade
98,Job Title
98,Job/Team Function
98,Parent Department
98,Organisation
98,Unit
98,Contact Phone
98,Contact E-mail
98,Reports to Senior Post
98,Salary Cost of Reports (£)
98,FTE
98,Actual Pay Floor (£)
98,Actual Pay Ceiling (£)
98,V16
98,Profession
98,Notes
98,Valid?
99,Parent Department
99,Organisation
99,Unit
99,Reporting Senior Post
99,Grade
99,Payscale Minimum (£)
99,Payscale Maximum (£)
99,Generic Job Title
99,Number of Posts in FTE
99,Profession
100,Post Unique Reference
100,Name
100,Grade (or equivalent)
100,Job Title
100,Job/Team Function
100,Parent Department
100,Organisation
100,Unit
100,Contact Phone
100,Contact E-mail
100,Reports to Senior Post
100,Salary Cost of Reports (£)
100,FTE
100,Actual Pay Floor (£)
100,Actual Pay Ceiling (£)
100,Total Pay (£)
100,Professional/Occupational Group
100,Notes
101,Parent Department
101,Organisation
101,Unit
101,Reporting Senior Post
101,Grade
101,Payscale Minimum (£)
101,Payscale Maximum (£)
101,Generic Job Title
101,Number of Posts in FTE
101,Professional/Occupational Group
102,Parent Department
102,Organisation
102,Unit
102,Reporting Senior Post
102,Grade
102,Payscale Minimum (£)
102,Payscale Maximum (£)
102,Generic Job Title
102,Number of Posts in FTE
102,Profession
103,Parent Department
103,Organisation
103,Unit
103,Reporting Senior Post
103,Grade
103,Payscale Minimum (£)
103,Payscale Maximum (£)
103,Generic Job Title
103,Number of Posts in FTE
103,Professional/Occupational Group
104,Post Unique Reference
104,Name
104,Grade (or equivalent)
104,Job Title
104,Job/Team Function
104,Parent Department
104,Organisation
104,Unit
104,Contact Phone
104,Contact E-mail
104,Reports to Senior Post
104,Salary Cost of Reports (£)
104,FTE
104,Actual Pay Floor (£)
104,Actual Pay Ceiling (£)
104,V16
104,Professional/Occupational Group
104,Notes
104,Valid?
105,Post Unique Reference
105,Name
105,Grade (or equivalent)
105,Job Title
105,Job/Team Function
105,Parent Department
105,Organisation
105,Unit
105,Contact Phone
105,Contact E-mail
105,Reports to Senior Post
105,Salary Cost of Reports (£)
105,FTE
105,Actual Pay Floor (£)
105,Actual Pay Ceiling (£)
105,V16
105,Professional/Occupational Group
105,Notes
105,Valid?
106,Parent Department
106,Organisation
106,Unit
106,Reporting Senior Post
106,Grade
106,Payscale Minimum (£)
