date.s..conducted,polling.organisation.client,sample.size,cons,lab,lib.dem,ukip,others,lead,sortdate,year
14-15 Sep,YouGov/The Sun,1971,42,39,12,2,5,3,15/09/2010,2010
14-16 Sep,ComRes/Sunday Mirror/The Independent on Sunday,2028,37,35,15,0,13,2,16/09/2010,2010
15-16 Sep,YouGov/The Sun,1996,41,38,12,3,6,3,16/09/2010,2010
16-17 Sep,YouGov/Sunday Times,1984,41,39,13,3,4,3,17/09/2010,2010
19-20 Sep,YouGov/The Sun,2156,42,38,11,3,5,4,20/09/2010,2010
20-21 Sep,YouGov/The Sun,1963,39,39,13,3,5,0,21/09/2010,2010
21-22 Sep,YouGov/The Sun,1649,43,36,14,2,5,7,22/09/2010,2010
22-23 Sep,YouGov/The Sun,2013,41,37,13,2,6,4,23/09/2010,2010
23-24 Sep,YouGov/Sunday Times,1905,39,38,15,3,6,1,24/09/2010,2010
26-27 Sep,YouGov/The Sun,1948,39,40,12,3,6,1,27/09/2010,2010
27-28 Sep,YouGov/The Sun,1896,41,40,12,2,6,1,28/09/2010,2010
28-29 Sep,YouGov/The Sun,1916,41,39,12,3,6,2,29/09/2010,2010
28-29 Sep,ICM/The Guardian,1005,35,37,18,0,10,3,29/09/2010,2010
29-30 Sep,YouGov/The Sun,3127,41,39,12,3,5,2,30/09/2010,2010
30 Sep-1 Oct,YouGov/Sunday Times,1796,39,41,11,2,6,2,01/10/2010,2010
30 Sep-1 Oct,Angus Reid Public Opinion,2004,35,38,16,4,7,3,01/10/2010,2010
30 Sep-1 Oct,BPIX/Mail on Sunday[11],2061,41,37,13,0,9,4,01/10/2010,2010
29 Sep-1 Oct,ComRes/The Independent,2035,39,36,15,0,10,3,01/10/2010,2010
3-4 Oct,YouGov/The Sun,2108,41,39,12,3,5,2,04/10/2010,2010
4-5 Oct,YouGov/The Sun,2057,43,39,11,2,5,4,05/10/2010,2010
5-6 Oct,YouGov/The Sun,1955,42,40,11,3,4,2,06/10/2010,2010
6-7 Oct,YouGov/The Sun,1903,42,38,12,3,5,4,07/10/2010,2010
7-8 Oct,YouGov/Sunday Times,1890,42,38,12,3,5,4,08/10/2010,2010
10-11 Oct,YouGov/The Sun,2090,42,38,12,2,6,4,11/10/2010,2010
11-12 Oct,YouGov/The Sun,2047,43,36,12,3,5,7,12/10/2010,2010
12-13 Oct,YouGov/The Sun,1959,41,40,11,3,5,1,13/10/2010,2010
13-14 Oct,YouGov/The Sun,1838,42,38,12,3,5,4,14/10/2010,2010
14-15 Oct,YouGov/Sunday Times,1898,41,39,11,3,6,2,15/10/2010,2010
13-15 Oct,ComRes/The Independent on Sunday/Sunday Mirror,2009,40,34,14,0,12,6,15/10/2010,2010
15-17 Oct,Ipsos MORI/Reuters,1009,39,36,14,3,8,3,17/10/2010,2010
17-18 Oct,YouGov/The Sun,1991,41,39,12,2,5,2,18/10/2010,2010
18-19 Oct,YouGov/The Sun,2099,42,39,11,2,6,3,19/10/2010,2010
19-20 Oct,YouGov/The Sun,1936,41,39,11,2,7,2,20/10/2010,2010
20-21 Oct,YouGov/The Sun,1874,41,40,10,3,6,1,21/10/2010,2010
21-22 Oct,YouGov/Sunday Times,1845,41,40,10,2,7,1,22/10/2010,2010
21-22 Oct,ICM/News of the World,1025,40,36,16,0,9,4,22/10/2010,2010
21-22 Oct,BPIX/Mail on Sunday[11],1916,35,37,10,0,18,2,22/10/2010,2010
22-24 Oct,ICM/The Guardian,1002,39,36,16,0,9,3,24/10/2010,2010
22-24 Oct,Populus/The Times,1000,37,38,15,0,10,1,24/10/2010,2010
24-25 Oct,YouGov/The Sun,1967,40,40,11,3,6,0,25/10/2010,2010
25-26 Oct,YouGov/The Sun,2651,40,38,12,2,7,2,26/10/2010,2010
26-27 Oct,YouGov/The Sun,2108,41,39,12,2,6,2,27/10/2010,2010
27-28 Oct,Angus Reid Public Opinion,2015,35,37,15,3,10,2,28/10/2010,2010
27-28 Oct,YouGov/The Sun,1986,41,39,11,3,6,2,28/10/2010,2010
28-29 Oct,YouGov/Sunday Times,2058,42,37,13,3,5,5,29/10/2010,2010
29-30 Oct,ComRes/The Independent,1000,35,37,16,0,12,2,30/10/2010,2010
31 Oct-1 Nov,YouGov/The Sun,2132,41,39,11,4,5,2,01/11/2010,2010
1-2 Nov,YouGov/The Sun,2006,41,40,11,3,5,1,02/11/2010,2010
2-3 Nov,YouGov/The Sun,2036,40,40,9,3,7,0,03/11/2010,2010
3-4 Nov,YouGov/The Sun,1980,40,39,11,3,7,1,04/11/2010,2010
4-5 Nov,YouGov/Sunday Times,1954,40,39,12,3,7,1,05/11/2010,2010
7-8 Nov,YouGov/The Sun,2109,42,39,11,4,5,3,08/11/2010,2010
8-9 Nov,YouGov/The Sun,1936,40,39,13,3,5,1,09/11/2010,2010
9-10 Nov,YouGov/The Sun,1933,42,37,11,4,6,5,10/11/2010,2010
10-11 Nov,YouGov/The Sun,2013,40,40,10,4,6,0,11/11/2010,2010
11-12 Nov,YouGov/Sunday Times,1930,39,41,10,3,6,2,12/11/2010,2010
12-14 Nov,Ipsos MORI/Reuters,1005,36,39,14,2,9,3,14/11/2010,2010
14-15 Nov,YouGov/The Sun,2050,40,42,10,3,5,2,15/11/2010,2010
15-16 Nov,YouGov/The Sun,2050,37,42,10,5,5,5,16/11/2010,2010
16-17 Nov,YouGov/The Sun,2082,40,40,11,3,7,0,17/11/2010,2010
17-18 Nov,YouGov/The Sun,2007,40,40,11,3,6,0,18/11/2010,2010
18-19 Nov,YouGov/Sunday Times,1967,40,38,11,4,7,2,19/11/2010,2010
17-19 Nov,ComRes/Sunday Mirror/The Independent on Sunday,2015,37,38,13,0,12,1,19/11/2010,2010
19-21 Nov,ICM/The Guardian,1000,36,38,14,0,12,2,21/11/2010,2010
21-22 Nov,YouGov/The Sun,2080,41,38,11,4,6,3,22/11/2010,2010
22-23 Nov,YouGov/The Sun,1968,42,40,10,3,6,2,23/11/2010,2010
23-24 Nov,YouGov/The Sun,2053,40,40,9,4,7,0,24/11/2010,2010
24-25 Nov,YouGov/The Sun,2024,42,39,10,3,6,3,25/11/2010,2010
25-26 Nov,YouGov/Sunday Times,1711,40,40,9,4,7,0,26/11/2010,2010
28-29 Nov,YouGov/The Sun,2114,40,40,10,4,6,0,29/11/2010,2010
26-29 Nov,ComRes/The Independent,1006,36,40,12,0,12,4,29/11/2010,2010
29-30 Nov,Angus Reid Public Opinion,2004,35,40,13,4,8,5,30/11/2010,2010
29-30 Nov,YouGov/The Sun,1975,40,40,10,4,6,0,30/11/2010,2010
30 Nov-1 Dec,YouGov/The Sun,2080,41,38,11,3,7,3,01/12/2010,2010
1-2 Dec,YouGov/The Sun,1934,40,40,11,3,6,0,02/12/2010,2010
2-3 Dec,YouGov/Sunday Times,1916,41,39,10,5,5,2,03/12/2010,2010
5-6 Dec,YouGov/The Sun,1991,42,39,10,3,6,3,06/12/2010,2010
6-7 Dec,YouGov/The Sun,2109,42,39,9,4,6,3,07/12/2010,2010
7-8 Dec,YouGov/The Sun,1966,41,41,8,3,6,0,08/12/2010,2010
8-9 Dec,YouGov/The Sun,1982,41,39,11,3,6,2,09/12/2010,2010
9-10 Dec,YouGov/Sunday Times,1937,40,42,9,3,7,2,10/12/2010,2010
10-12 Dec,Ipsos MORI/Reuters,1004,38,39,11,4,10,1,12/12/2010,2010
12-13 Dec,YouGov/The Sun,2092,41,42,9,4,4,1,13/12/2010,2010
13-14 Dec,YouGov/The Sun,1810,39,42,9,4,5,3,14/12/2010,2010
14-15 Dec,YouGov/The Sun,2022,42,40,8,3,6,2,15/12/2010,2010
15-16 Dec,ComRes/The Independent on Sunday/Sunday Mirror,2017,37,39,11,0,13,2,16/12/2010,2010
15-16 Dec,YouGov/The Sun,1922,41,41,9,5,5,0,16/12/2010,2010
16-17 Dec,YouGov/Sunday Times,1966,39,42,9,4,6,3,17/12/2010,2010
16-19 Dec,ICM/The Guardian,1003,37,39,13,0,11,2,19/12/2010,2010
19-20 Dec,YouGov/The Sun,2039,40,43,8,3,6,3,20/12/2010,2010
17-20 Dec,Angus Reid Public Opinion,2003,35,41,9,5,10,6,20/12/2010,2010
20-21 Dec,YouGov/The Sun,2032,40,42,9,4,5,2,21/12/2010,2010
21-22 Dec,YouGov/The Sun,1695,41,42,8,3,7,1,22/12/2010,2010
22-23 Dec,YouGov/The Sun,1635,39,41,9,5,6,2,23/12/2010,2010
3-4 Jan,YouGov/The Sun,1876,40,42,8,2,8,2,04/01/2011,2011
4-5 Jan,YouGov/The Sun,NA,40,41,10,2,7,1,05/01/2011,2011
5-6 Jan,YouGov/The Sun,1862,39,43,7,2,8,4,06/01/2011,2011
6-7 Jan,Angus Reid Public Opinion,2010,35,40,12,5,8,5,07/01/2011,2011
6-7 Jan,YouGov/Sunday Times,1797,38,41,10,5,6,3,07/01/2011,2011
7-9 Jan,ComRes/The Independent,1000,34,42,12,2,10,8,09/01/2011,2011
8-10 Jan,YouGov/Sunday Times,2283,40,43,8,2,7,3,10/01/2011,2011
10-11 Jan,YouGov/The Sun,1857,40,41,7,2,10,1,11/01/2011,2011
11-12 Jan,YouGov/The Sun,1812,36,43,9,2,9,7,12/01/2011,2011
12-13 Jan,ComRes/Sunday Mirror/Independent on Sunday,2006,36,40,10,2,12,4,13/01/2011,2011
12-13 Jan,YouGov/The Sun,1884,41,41,8,2,9,0,13/01/2011,2011
13-14 Jan,YouGov/The Sunday Times,1865,37,43,9,2,9,6,14/01/2011,2011
16-17 Jan,YouGov/The Sun,1977,37,42,9,2,9,5,17/01/2011,2011
17-18 Jan,YouGov/The Sun,1884,39,44,8,2,7,5,18/01/2011,2011
18-19 Jan,YouGov/The Sun,1993,37,42,9,2,8,5,19/01/2011,2011
19-20 Jan,YouGov/The Sun,1860,36,43,10,3,8,7,20/01/2011,2011
20-21 Jan,YouGov/Sunday Times,1699,39,43,9,3,7,4,21/01/2011,2011
21-23 Jan,ICM/The Guardian,1000,35,39,15,2,8,4,23/01/2011,2011
23-24 Jan,YouGov/The Sun,2003,37,42,11,4,7,5,24/01/2011,2011
21-24 Jan,Ipsos MORI/Reuters,1162,33,43,13,4,7,10,24/01/2011,2011
24-25 Jan,YouGov/The Sun,1816,37,43,10,4,6,6,25/01/2011,2011
25-26 Jan,YouGov/The Sun,2139,39,41,10,3,8,2,26/01/2011,2011
25-26 Jan,Angus Reid Public Opinion/PoliticalBetting.com,2010,33,41,12,6,9,8,26/01/2011,2011
26-27 Jan,YouGov/The Sun,1835,38,44,8,3,7,6,27/01/2011,2011
27-28 Jan,Angus Reid Public Opinion/Sunday Express,2323,32,43,11,4,10,11,28/01/2011,2011
27-28 Jan,YouGov/Sunday Times,2234,39,43,8,5,5,4,28/01/2011,2011
28-30 Jan,ComRes/The Independent,1002,34,43,10,4,9,9,30/01/2011,2011
30-31 Jan,YouGov/The Sun,2032,40,42,8,3,8,2,31/01/2011,2011
31 Jan-1 Feb,YouGov/The Sun,1922,39,44,8,3,7,5,01/02/2011,2011
1-2 Feb,YouGov/The Sun,2409,36,44,9,3,7,8,02/02/2011,2011
3-4 Feb,YouGov/Sunday Times,2283,36,42,10,3,8,6,04/02/2011,2011
4-6 Feb,Populus/The Times,1510,36,39,11,3,11,3,06/02/2011,2011
6-7 Feb,YouGov/The Sun,2278,37,43,9,3,7,6,07/02/2011,2011
7-8 Feb,YouGov/The Sun,2483,35,43,10,3,7,8,08/02/2011,2011
8-9 Feb,YouGov/The Sun,2339,36,43,10,3,8,7,09/02/2011,2011
9-10 Feb,YouGov/The Sun,2474,35,44,10,3,9,9,10/02/2011,2011
9-10 Feb,ComRes/The Independent on Sunday/Sunday Mirror,2009,36,42,11,3,9,6,10/02/2011,2011
8-10 Feb,Angus Reid Public Opinion,2019,34,40,11,5,10,6,10/02/2011,2011
10-11 Feb,YouGov/Sunday Times,2419,35,45,9,3,8,10,11/02/2011,2011
13-14 Feb,YouGov/The Sun,2736,36,44,10,3,7,8,14/02/2011,2011
14-15 Feb,YouGov/The Sun,2502,37,44,10,3,7,7,15/02/2011,2011
15-16 Feb,YouGov/The Sun,NA,35,45,10,3,7,10,16/02/2011,2011
16-17 Feb,YouGov/The Sun,2643,36,42,10,3,8,6,17/02/2011,2011
17-18 Feb,YouGov/Sunday Times,2464,37,41,10,3,8,4,18/02/2011,2011
18-20 Feb,Ipsos MORI/Reuters,1002,33,43,13,3,8,10,20/02/2011,2011
20-21 Feb,YouGov/The Sun,2630,36,42,11,3,8,6,21/02/2011,2011
21-22 Feb,YouGov/The Sun,2372,37,43,9,3,8,6,22/02/2011,2011
22-23 Feb,YouGov/The Sun,2487,36,44,11,3,6,8,23/02/2011,2011
21-23 Feb,ICM/The Guardian,1000,35,38,18,3,6,3,23/02/2011,2011
23-24 Feb,YouGov/The Sun,NA,38,42,10,3,7,4,24/02/2011,2011
24-25 Feb,YouGov/Sunday Times,2325,36,44,10,3,7,8,25/02/2011,2011
25-27 Feb,ComRes/The Independent,1007,35,39,12,3,11,4,27/02/2011,2011
27-28 Feb,YouGov/The Sun,2549,36,43,10,3,8,7,28/02/2011,2011
28 Feb - 1 Mar,YouGov/The Sun,2126,34,43,11,3,9,9,01/03/2011,2011
1-2 Mar,YouGov/The Sun,2458,36,41,11,3,9,5,02/03/2011,2011
3-4 Mar,YouGov/Sunday Times,2413,35,43,10,7,5,8,04/03/2011,2011
3-4 Mar,Angus Reid Public Opinion,2007,33,41,10,6,10,8,04/03/2011,2011
4-6 Mar,Populus/The Times,1511,35,41,11,5,8,6,06/03/2011,2011
6-7 Mar,YouGov/The Sun,1614,36,42,9,3,10,6,07/03/2011,2011
7-8 Mar,YouGov/The Sun,2346,36,44,10,3,8,8,08/03/2011,2011
8-9 Mar,YouGov/The Sun,2436,36,42,9,4,10,6,09/03/2011,2011
9-10 Mar,YouGov/The Sun,2195,34,45,9,3,9,11,10/03/2011,2011
10-11 Mar,YouGov/Sunday Times,2067,33,44,10,3,10,11,11/03/2011,2011
11-13 Mar,Ipsos MORI/Reuters,1000,37,41,10,3,10,4,13/03/2011,2011
13-14 Mar,YouGov/The Sun,2634,35,44,9,3,9,9,14/03/2011,2011
14-15 Mar,YouGov/The Sun,2595,35,45,9,2,9,10,15/03/2011,2011
15-16 Mar,YouGov/The Sun,2666,35,43,10,2,10,8,16/03/2011,2011
16-17 Mar,YouGov/The Sun,2295,35,43,10,2,10,8,17/03/2011,2011
17-18 Mar,YouGov/Sunday Times,2682,37,43,9,2,9,6,18/03/2011,2011
18-21 Mar,Angus Reid Public Opinion,2023,32,41,10,8,10,9,21/03/2011,2011
21-22 Mar,YouGov/The Sun,2026,35,42,9,4,10,7,22/03/2011,2011
22-23 Mar,YouGov/The Sun,2485,36,42,10,2,9,6,23/03/2011,2011
23-24 Mar,YouGov/The Sun,2456,37,41,11,2,9,4,24/03/2011,2011
23-24 Mar,ICM/The Guardian,1014,37,36,16,2,9,1,24/03/2011,2011
24-25 Mar,YouGov/Sunday Times,2214,38,41,11,2,8,3,25/03/2011,2011
25-27 Mar,ComRes/The Independent,1000,35,41,13,2,9,6,27/03/2011,2011
27-28 Mar,YouGov/The Sun,2391,36,44,9,2,9,8,28/03/2011,2011
28-29 Mar,YouGov/The Sun,2198,36,42,10,2,9,6,29/03/2011,2011
29-30 Mar,YouGov/The Sun,2202,35,45,9,2,9,10,30/03/2011,2011
30-31 Mar,YouGov/The Sun,2175,35,42,10,3,10,7,31/03/2011,2011
31 Mar-1 Apr,YouGov/Sunday Times,2226,36,42,11,3,8,6,01/04/2011,2011
3-4 Apr,YouGov/The Sun,2484,37,42,9,2,9,5,04/04/2011,2011
4-5 Apr,YouGov/The Sun,2530,37,42,9,2,10,5,05/04/2011,2011
5-6 Apr,YouGov/The Sun,2034,36,42,10,2,10,6,06/04/2011,2011
6-7 Apr,YouGov/The Sun,2199,35,44,10,2,9,9,07/04/2011,2011
7-8 Apr,YouGov/Sunday Times,2206,36,43,9,2,10,7,08/04/2011,2011
8-10 Apr,Populus/The Times,1509,36,40,11,4,10,4,10/04/2011,2011
10-11 Apr,YouGov/The Sun,2649,36,42,10,5,7,6,11/04/2011,2011
8-11 Apr,Angus Reid Public Opinion,2023,31,42,11,6,11,11,11/04/2011,2011
11-12 Apr,YouGov/The Sun,2258,37,42,9,4,10,5,12/04/2011,2011
12-13 Apr,YouGov/The Sun,2813,35,44,10,4,8,9,13/04/2011,2011
13-14 Apr,YouGov/The Sun,2555,36,42,10,3,9,6,14/04/2011,2011
14-15 Apr,YouGov/Sunday Times,2735,37,41,9,3,9,4,15/04/2011,2011
15-17 Apr,Ipsos MORI/Reuters,1000,40,40,9,3,8,0,17/04/2011,2011
17-18 Apr,YouGov/The Sun,3637,36,42,9,3,9,6,18/04/2011,2011
18-19 Apr,YouGov/The Sun,2431,36,43,9,3,9,7,19/04/2011,2011
19-20 Apr,YouGov/The Sun,2346,36,43,9,3,9,7,20/04/2011,2011
20-21 Apr,YouGov/The Sun,2629,36,42,10,3,9,6,21/04/2011,2011
25-26 Apr,YouGov/The Sun,2617,36,41,10,3,10,5,26/04/2011,2011
26-27 Apr,YouGov/The Sun,2666,36,42,10,3,9,6,27/04/2011,2011
27-28 Apr,YouGov/The Sun,2070,36,41,12,3,9,5,28/04/2011,2011
2-3 May,YouGov/The Sun,2365,37,42,10,3,8,5,03/05/2011,2011
3-4 May,YouGov/The Sun,5725,36,40,11,4,10,4,04/05/2011,2011
4-5 May,YouGov/The Sun,2087,37,39,10,3,10,2,05/05/2011,2011
5-6 May,YouGov/Sunday Times,2056,36,41,10,2,10,5,06/05/2011,2011
6-8 May,Populus/The Times,1504,37,39,11,3,11,2,08/05/2011,2011
8-9 May,YouGov/The Sun,2530,38,42,8,2,10,4,09/05/2011,2011
6-9 May,Opinium,1964,35,38,9,7,10,3,09/05/2011,2011
9-10 May,YouGov/The Sun,2341,38,40,9,3,11,2,10/05/2011,2011
12-13 May,YouGov/The Sunday Times,2286,36,41,9,3,10,5,13/05/2011,2011
15-16 May,YouGov/The Sun,2601,38,41,10,2,10,3,16/05/2011,2011
16-17 May,YouGov/The Sun,2515,39,41,9,2,10,2,17/05/2011,2011
17-18 May,YouGov/The Sun,2064,36,42,9,3,10,6,18/05/2011,2011
18-19 May,YouGov/The Sun,2256,38,40,10,2,10,2,19/05/2011,2011
19-20 May,YouGov/Sunday Times,2691,37,42,8,3,10,5,20/05/2011,2011
22-23 May,YouGov/The Sun,2823,38,42,10,2,8,4,23/05/2011,2011
23-24 May,YouGov/The Sun,2442,38,42,9,2,9,4,24/05/2011,2011
20-24 May,Ipsos MORI/Reuters,1008,35,42,10,2,11,7,24/05/2011,2011
24-25 May,YouGov/The Sun,2795,37,41,10,2,10,4,25/05/2011,2011
25-26 May,YouGov/The Sun,2756,37,43,8,2,10,6,26/05/2011,2011
26-27 May,YouGov/Sunday Times,2723,37,43,9,2,10,6,27/05/2011,2011
27-29 May,ComRes/The Independent,1001,37,37,12,4,10,0,29/05/2011,2011
30-31 May,YouGov/The Sun,2845,37,42,9,2,10,5,31/05/2011,2011
31 May-1 Jun,YouGov/The Sun,2657,39,41,9,2,10,2,01/06/2011,2011
1-2 Jun,YouGov/The Sun,2935,36,42,9,2,11,6,02/06/2011,2011
2-3 Jun,YouGov/Sunday Times,2579,37,42,9,2,10,5,03/06/2011,2011
5-6 Jun,YouGov/The Sun,2667,37,43,9,2,10,6,06/06/2011,2011
6-7 Jun,YouGov/The Sun,2704,36,44,8,2,10,8,07/06/2011,2011
7-8 Jun,YouGov/The Sun,2693,37,42,9,2,10,5,08/06/2011,2011
8-9 Jun,YouGov/The Sun,2861,37,43,8,3,9,6,09/06/2011,2011
9-10 Jun,YouGov/Sunday Times,2728,37,42,9,3,9,5,10/06/2011,2011
10-12 Jun,Populus/The Times,1508,39,40,9,3,8,1,12/06/2011,2011
12-13 Jun,YouGov/The Sun,2928,37,42,10,3,8,5,13/06/2011,2011
13-14 Jun,YouGov/The Sun,2706,37,42,10,3,8,5,14/06/2011,2011
14-15 Jun,YouGov/The Sun,2773,36,42,9,3,9,6,15/06/2011,2011
15-16 Jun,YouGov/The Sun,2691,37,43,9,2,9,6,16/06/2011,2011
15-16 Jun,ComRes/The Independent on Sunday/Sunday Mirror,2008,37,37,11,5,10,0,16/06/2011,2011
16-17 Jun,YouGov/Sunday Times,2451,37,42,10,2,9,5,17/06/2011,2011
17-19 Jun,ICM/The Guardian,1000,37,39,12,2,10,2,19/06/2011,2011
19-20 Jun,YouGov/The Sun,2847,37,43,9,2,9,6,20/06/2011,2011
20-21 Jun,YouGov/The Sun,2732,37,42,8,2,11,5,21/06/2011,2011
21-22 Jun,YouGov/The Sun,2774,36,42,9,2,11,6,22/06/2011,2011
22-23 Jun,YouGov/The Sun,2834,37,42,9,2,9,5,23/06/2011,2011
23-24 Jun,YouGov/Sunday Times,2767,36,43,9,2,10,7,24/06/2011,2011
24-26 Jun,ComRes/The Independent,1003,36,40,11,3,10,4,26/06/2011,2011
26-27 Jun,YouGov/The Sun,3007,37,42,10,3,8,5,27/06/2011,2011
27-28 Jun,YouGov/The Sun,2573,36,43,8,3,9,7,28/06/2011,2011
28-29 Jun,YouGov/The Sun,2699,37,41,10,3,9,4,29/06/2011,2011
29-30 Jun,YouGov/The Sun,2707,37,42,8,3,11,5,30/06/2011,2011
